ACCE_ABSORB	Absorption des bonus
COMB_APPEARANCE	Costume 1
COMB_ATTRIBUTE	Costume 2
GAMEOPTION_TITLE_EXTRA	Option supplémentaire
HIDE_COSTUMES	Cacher le costume
GAMEOPTION_HAIR	Coiffure
SWITCHBOT_TITLE	Switch Bot
SWITCHBOT_ALREADY_ATTACHED	Cet élément a déjà été ajouté au switch bot.
RENDER_OPT	Optimisation
RENDER_OPT_LOW	Lenteur
RENDER_OPT_MEDIUM	Moyen
RENDER_OPT_HIGH	maximum
SWITCHBOT_SLOT_NAME	Slot %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	Vous ne pouvez pas ajouter un autre item.
SWITCHBOT_BUTTON_START	Start
SWITCHBOT_BUTTON_RESET	Reset
SWITCHBOT_TEMPLATE_TITLE	Modèles
SWITCHBOT_SPEED_SLOW	Lent
SWITCHBOT_SPEED_MEDIUM	Moyenne
SWITCHBOT_SPEED_NORMAL	Normal
SWITCHBOT_SPEED_PREMIUM	Premium 
SHINING_WINDOW_TITLE	Brillance
SWITCHBOT_BUTTON_STOP	Stop
SWITCHBOT_BUTTON_DELETE	Rayer
SWITCHBOT_PREMIUM_INACTIVE	Prime inactif
SWITCHBOT_SELECT_DEFAULT	-- Choisir --
SWITCHBOT_SELECT_UNKNOWN	!inconnu !
MESSENGER_ADD_BLOCK	Block
SWITCHBOT_START_TIME	Démarrer
SWITCHBOT_TIME_PASSED	Durée totale
SWITCHBOT_SWITCHERS_USED	Changeurs dépensés
SWITCHBOT_CURRENT_SPEED	Vitesse
RUNE_MAIN_TITLE	Runes
RUNE_MAIN_GROUP_TITLE1	Précision
RUNE_MAIN_GROUP_TITLE_DESC1	Deviens une légende
RUNE_MAIN_GROUP_DESC1	Renforcez vos attaques normales
RUNE_MAIN_GROUP_TITLE2	Dominance
RUNE_MAIN_GROUP_TITLE_DESC2	Deviens une légende
RUNE_MAIN_GROUP_DESC2	Renforce tes attaques contre les monstres
RUNE_MAIN_GROUP_TITLE3	Magie
RUNE_MAIN_GROUP_TITLE_DESC3	Deviens une légende
RUNE_MAIN_GROUP_DESC3	Renforcez vos compétences
RUNE_MAIN_GROUP_TITLE4	Détermination
RUNE_MAIN_GROUP_TITLE_DESC4	Deviens une légende
RUNE_MAIN_GROUP_DESC4	Renforce ta défense
RUNE_MAIN_GROUP_TITLE5	Inspiration
RUNE_MAIN_GROUP_TITLE_DESC5	Deviens une légende
RUNE_MAIN_GROUP_DESC5	Renforce tes amis
RUNE_SUB_MAIN_SELECT1	Sélectionner une Rune Principale
RUNE_SUB_MAIN_SELECT2	Sélectionnez la Rune
RUNE_SUB_SUB_SELECT_GROUP	Chemin secondaire
RUNE_SUB_SUB_SELECT_RUNE_NOGROUP	Rune additionnel
RUNE_SUB_SUB_SELECT_RUNE	Chemin secondaire
RUNE_SUB_SUBTITLE_TEXT	Rune Clé
RUNE_TOOLTIP_SAVE	Save
RUNE_WINDOW_TUTORIAL	Tutoriel sur le Système des Runes
GAMEOPTION_ACCE	Etole
MINI_GAME_FISH_START_TEXT	Début
MINI_GAME_FISH_TITLE	Puzzle poisson
BANNER_FISH_BUTTON	Ecrivez à un Gamemaster !
MINIGAME_FISH_EVENT_USE_COUNT	Essais
MINI_GAME_FISH_HELP_TEXT	Aide
SKINSYSTEM_TITLE	Costume(s) Système 
SHOP_SEARCH_SORT_DATE_ASC	Temps de vente
XMAS_EVENT_TITLE	Calendrier de noël
OFFLINE_SHOP_SALES_HISTORY	Historique des ventes
OFFLINE_SHOP_WITHDRAW_GOLD	Récupérer les Yangs
OFFLINE_SHOP_HISTORY_COLUMN1	Objet
OFFLINE_SHOP_HISTORY_COLUMN2	Prix
OFFLINE_SHOP_HISTORY_COLUMN3	Acheteur
OFFLINE_SHOP_HISTORY_COLUMN4	date
OFFLINE_SHOP_AVERAGE_PRICE	Prix moyen
OFFLINE_SHOP_SELL_DIALOG_QUESTION	Pour combien de yang[ENTER] voulez vous vendre cet item ?
OFFLINE_SHOP_YOU_GET	Vous recevez:
OFFLINE_SHOP_SELL_AVERAGE_PRICE	Vendre au prix moyen
OFFLINE_SHOP_CHANGE_APPEARANCE	Changement d'apparence
OFFLINE_SHOP_TIME_REMAINING	Temps restant:
SHOP_SEARCH_CAT_ORES	Minerais
SYSTEM_PICK_OPTION	Pickup Options
PICKUP_CATEGORY_POTION	Potions
PICKUP_CATEGORY_BOOK	Manuels
PICKUP_CATEGORY_SIZE_TITLE	Taille des machines à sous
PICKUP_CATEGORY_SIZE_1	1 slot
PICKUP_CATEGORY_SIZE_2	2 slot
PICKUP_CATEGORY_SIZE_3	3 slot
OPTION_HIDE_NPC_TITLE	Cacher
OPTION_HIDE_NPC_CAT1	Buffie
OPTION_HIDE_NPC_CAT2	Montures
OPTION_HIDE_NPC_CAT3	Pets
ZODIAC_CALENDAR	Calendrier Zodiac
SAVE_WINDOW_POS	Enregistrer la fenêtre Pos.
NEW_EMOTES	Nouvelle Émotions
FONT	Font
FONT_DEFAULT	Normal
BDAY_EVENT_DESC_D2	Terminer la plupart des donjons
BDAY_EVENT_DESC_D3	Vaincre la plupart des pierres Metin
BDAY_EVENT_DESC_D4	Consommez  plus d'articles d'enchantement
BDAY_EVENT_DESC_D5	Tuez le plus de monstres
BDAY_EVENT_DESC_D6	Complétez la plupart des Livres des Quêtes
BDAY_EVENT_DESC_D7	Tuer les joueurs de l'autre fraction
BDAY_EVENT_REWARD_D1	10% Force contre les Bosses
BDAY_EVENT_REWARD_D2	25% lower cooldown on Dungeons
BDAY_EVENT_REWARD_D3	10% de Force contre les Metins
BDAY_EVENT_REWARD_D4	50% lower cooldown on Biologist Missions
BDAY_EVENT_REWARD_D5	10% Fore contre les Monstres
BDAY_EVENT_REWARD_D6	10% increased upprates
BDAY_EVENT_REWARD_D7	5% Chance to double drop items
OPTION_ONLY_ITEM_TEXTTAIL	Drop(s)
BATTLE_FIELD_MONDAY	LUNDI
BATTLE_FIELD_TUESDAY	MARDI
BATTLE_FIELD_WEDNESDAY	MERCREDI
BATTLE_FIELD_THURSDAY	JEUDI
BATTLE_FIELD_FRIDAY	VENDREDI
BATTLE_FIELD_SATURDAY	SAMEDI
BATTLE_FIELD_SUNDAY	SAMEDI
BATTLE_FIELD_EACH_DAY	%s: |cFF14ff48|h%02i:%02i|h|r  - |cFFff1a00|h%02i:%02i|h|r 
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	Potion requise
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_INFO	Zone de combat
BATTLE_FIELD_OPERATION_ONLINE	L'entrée est ouverte
BATTLE_FIELD_OPERATION_OFFLINE	L'entrée est fermée.
BATTLE_FILED_RANK	Rang
BATTLE_FILED_RANK_EMPIRE	Royaume
BATTLE_FILED_RANK_NAME	Nom
BATTLE_FILED_RANK_POINT	Points
ENTER_BATTLE_FIELD	Enter
EXIT_BATTLE_FIELD	Voulez-vous vraiment quitter la zone de combat?
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Points actuels : %
TOTAL_RANKING	Classement général
WEEKLY_RANKING	Classement hebdomadaire
RESTART_IMMEDIATE	Restart
REQUIRED_AMOUNT	Montant requis
DUNGEON_RANKING_WINDOW	Dungeon Rangliste
DAY	Jour
SWITCHBOT_DROP	Faites glisser votre item ici !
OPTION_SNOW	Neige
OPTION_SAVE_WHISPERS	Sauvegarder les MP's
OPTION_WHISPER_TIMESTAMP	MP Horaire
CUBE_MAKE_ALL	Fabriquer tout
AFFECT_GAME_OPTION	Affect icons
AUCTION_STRICT_SEARCH	Recherche exacte
SKILL_COLOR	Couleur de la compétence
SAVE	Sauvegarder
STANDARD	Standard
SKILL_COLOR_CURRENT	Couleur actuelle :
BLACKJACK_HIT	frapper
BLACKJACK_STAY	rester
BLACKJACK_DEALER	Dealer
BLACKJACK_YOU	Vous
BLACKJACK_BET	je comprends
BLACKJACK_START_GAME	Démarrer le jeu
OPTION_MESSENGER_NOTIFICATION	Messenger notif.
SHOP_SELL_NOTIFICATION	%sx %s a été vendu pour %s Yang..
SHOP_SELL_NOTIFICATION_TITLE	Notification de ventes
EQUIPMENT_PAGE_TITLE	Changer d'équipement
SAFEBOX_INVENTORY_NORMAL	Coffre-fort standard
OPTION_SELL_NOTIFICATION	Notification de vente.
OPTION_HIDE_NPC_CAT4	Magasins 
HOTKEY_TITLE_TEXT	Touche de raccourci clavier
SAFEBOX_INVENTORY_ITEMSHOP	Coffre-fort Item-Shop
SAFEBOX_INVENTORY_UPP	Coffre-Fort d'Objets d’amélioration
SAFEBOX_INVENTORY_SKILL	Coffre-fort à livre
SAFEBOX_INVENTORY_STONE	Entrepôt des Pierres Spirituelles
SAFEBOX_INVENTORY_ENCHANT	Coffre-Fort de Bonus enchantés
SAFEBOX_INVENTORY_COSTUME	Coffre-fort des Costumes
SAFEBOX_INVENTORY_GUILD	Coffre-fort de la Guilde
HALLOWEEN_GAME_WIN_TITLE	Halloween reward (Itemshop Storage!)
HALLOWEEN_GAME_WIN_TEXT	You get [ENTER]%s[ENTER]in you'r Itemshop Storage!
