VNUM	LOCALE_NAME
10035	Deon-Zeon 917 5253
10036	2_Deon-Zeon 7041 4642
10037	??? 3809 8233
10038	??? 9752 1330
10039	??? 1917 2900
10040	??? 9239 1836
10041	??? 8316 2154
10042	??? 9772 1850
10043	??? 3819 2969
10044	??? 10189 1484
10045	??? 3819 2969
10046	??? 9774 1501
10047	??? 2699 6752
10048	??? 9679 1994
10049	??? 2699 6752
10050	??? 9256 2012
10051	???? 3478 6189
10052	??? 9780 1995
10053	???? 3478 6189
10054	??? 10190 2002
10055	???? 6011 6874
10056	??? 4368 2158
10057	??? 3355 7558
10058	???? 5943 1337
10059	???1 0 10496
10060	????1 1536 10496
10061	????1 4608 10496
10062	???1 6144 10496
10063	??? 3031 266
10064	???? 11133 534
10065	???? 7754 10553
10066	????? 9915 11195
10067	MonkeyDungeon 7752 4477
10068	Yayang_Area 4062 8756
10069	MonkeyDungeon 8520 4477
10070	Bokjung_Area 1611 2130
10071	MonkeyDungeon 9288 4477
10072	Bakra_Area 8727 2100
10073	Yongbi_Desert 3061 6202
10074	MonkeyDungeon 1352 6532
10075	Yongbi_Desert 2879 5407
10076	MonkeyDungeon 1352 7300
10077	????1? 9 12078
10078	??? 2842 8106
10079	Grotto1 1459 13236
10080	Grotte2 2413 12755
10081	????1? 99 13618
10082	???? 5028 9998
10083	????1? 1360 14972
10084	????2? 2414 14289
10085	????1? 99 15154
10086	???? 616 1148
10087	????1? 1360 16508
10088	????2? 2414 15825
10089	????1? 99 16690
10090	???? 9609 3188
10091	????1? 1360 18044
10092	????2? 2414 17361
10093	Dragon_Gate 1731 12205
10094	Dragon_Gate 1733 13743
10095	Dragon_Gate 1728 15277
10096	Dragon_Gate 1724 16824
10097	SD2 7040 5235
10098	SD3 984 5711
10099	Cape 11043 17885
10100	Cape 10963 16744
10101	Nephrite 10869 16558
10102	Cape 11664 16779
10103	Thunder 11345 16546
10104	Thunder 11921 16550
10105	Gautama 12263 16811
10106	test
10501	. 345 361
10502	. 106 547
10503	. 75 368
10504	. 89 746
10505	. 520 352
10506	. 541 45
10507	. 211 109
10508	. 615 49
10509	. 284 705
10510	. 145 310
10511	. 553 285
10512	. 487 274
10513	. 626 291
10514	. 285 569
10515	. 80 303
10516	. 315 238
10517	. 416 272
10518	. 72 498
10519	. 215 495
10520	. 523 415
10521	. 72 498
10522	. 518 480
10523	. 583 379
10524	. 459 558
10601	. 345 361
10602	. 520 352
10603	. 487 274
10604	. 75 368
10605	. 211 109
10606	. 215 495
10607	. 315 238
10608	. 520 352
10609	. 284 705
10610	. 145 310
10611	. 416 272
10612	. 80 303
10613	. 72 498
10614	. 106 547
10615	. 523 415
10616	. 541 45
10617	. 72 121
10618	. 518 480
10619	. 89 746
10620	. 285 569
10621	. 615 49
10622	. 72 498
10623	. 583 379
10624	. 459 558
10625	. 609 553
10626	. 594 338
10701	. 75 368
10702	. 541 45
10703	. 615 49
10704	. 284 705
10705	. 520 352
10706	. 553 285
10707	. 145 310
10708	. 345 361
10709	. 523 415
10710	. 72 498
10711	. 626 291
10712	. 487 274
10713	. 72 498
10714	. 106 547
10715	. 518 480
10716	. 285 569
10717	. 80 303
10718	. 211 109
10719	. 416 272
10720	. 215 495
10721	. 315 238
10722	. 89 746
10723	. 583 379
10724	. 459 558
10725	. 609 553
10726	. 594 338
10801	. 70 581
10802	. 69 664
10803	. 132 660
10804	. 184 566
10805	. 285 567
10806	. 272 636
10807	. 191 667
10808	. 345 563
10809	. 400 570
10810	. 68 806
10811	. 140 811
10812	. 189 722
10813	. 274 722
10814	.233 780
10815	. 318 780
10816	. 273 833
10817	.356 717
10818	.412 712
10819	. 372 776
10820	. 354 840
10821	. 366 817
10822	. 420 841
10823	. 94 846
10824	. 63 864
10825	. 131 866
10826	. 59 920
10827	. 91 940
10828	. 135 919
10829	. 194 870
10830	. 243 862
10831	. 312 861
10832	. 373 893
10833	. 406 880
10834	. 422 935
10835	. 500 807
11000	Guardian
11001	Battle Bailiff
11002	Guardian
11003	Battle Bailiff
11004	Guardian
11005	Battle Bailiff
11100	Guardian
11101	Battle Bailiff
11102	Guardian
11103	Battle Bailiff
11104	Guardian
11105	Battle Bailiff
11106	???
11107	???
11108	???
11109	???
11110	???
11111	???
11112	???
11113	???
11114	???
11115	???
11116	???
11117	???
11505	Gold Frog
11506	??
11507	??
11508	??
11509	??
11510	??
12000	Campfire
13000	Wooden Gate
13001	Stone Gate
14000	Workshop
14001	Workshop
14002	Workshop
14003	Workshop
14004	Workshop
14005	Workshop
14006	Workshop
14007	Workshop
14008	Workshop
14009	Workshop
14010	Altar
14011	Altar
14012	Altar
14013	Altar
14014	Altar
14015	Altar
14016	Altar
14017	Altar
14018	Altar
14019	Altar
14020	Headquarters
14021	Headquarters
14022	Headquarters
14023	Headquarters
14024	Headquarters
14025	Headquarters
14026	Headquarters
14027	Headquarters
14028	Headquarters
14029	Headquarters
14030	Training Camp
14031	Training Camp
14032	Training Camp
14033	Training Camp
14034	Training Camp
14035	Training Camp
14036	Training Camp
14037	Training Camp
14038	Training Camp
14039	Training Camp
14040	Furnace
14041	Furnace
14042	Furnace
14043	Furnace
14044	Furnace
14045	Furnace
14046	Furnace
14047	Furnace
14048	Furnace
14049	Furnace
20001	Alchemist
20002	Aranyo
20003	Ah-Yu
20004	Beggar
20005	Yonah
20006	Mirine
20007	Storekeeper
20008	Octavio
20009	Old Man
20010	Peddler
20011	Uriel
20012	Yu-Rang
20013	Fisherman
20014	Taurean
20015	Deokbae
20016	Blacksmith
20017	Yu-Hwan
20018	Baek-Go
20019	Yang-Shin
20020	Traitor Balso
20021	Ariyoung
20022	Huahn-So
20023	Soon
20024	Harang
20026	Ji-Ryu
20027	Gillian
20028	Mirine Brother
20029	Pony
20030	Horse
20031	Santa Claus
20032	Arbre de Noël
20033	Arbre de Noël
20034	Arbre de Noël
20035	Flag
20036	Flag
20037	Flag
20038	..
20040	Land Agent
20041	Shabby Pedestrian
20042	Peddler
20044	Weaponsmith, Stanley
20045	Armoursmith, Stanton
20046	Acc. Designer, Starbuck
20047	Vein Of Diamond Ore
20048	Vein Of Amber Ore
20049	Vein Of Fossil Trunk Ore
20050	Vein Of Copper Ore
20051	Vein Of Silver Ore
20052	Vein Of Gold Ore
20053	Vein Of Jade Ore
20054	Vein Of Ebony Ore
20055	Pile Of Clams
20056	Vein Of White Gold Ore
20057	Vein Of Crystal Ore
20058	Vein Of Amethyst Ore
20059	Heaven's Tear Vein
20060	Diamond Alchemist
20061	Amber Alchemist
20062	Fossil Wood Alch.
20063	Copper Alchemist
20064	Silver Alchemist
20065	Gold Alchemist
20066	Jade Alchemist
20067	Ebony Alchemist
20068	Pearl Alchemist
20069	White Gold Alch.
20070	Crystal Alchemist
20071	Amethyst Alchemist
20072	Heaven's Tear Alch.
20073	Ancient Seal
20074	Demon Tower Weaponsmith
20075	Demon Tower Armorsmith
20076	Demon Tower Jeweler
20077	Altar Guard
20078	Altar Guard
20079	Altar Guard
20080	Training Leader
20081	Stolen Gangway Seal
20082	Master
20083	Jegal-Tunseok
20084	Biologist Chaegirab
20085	Jimjunja
20086	Handu-Up
20087	Wonda-Rim
20088	Chuk-Sal
20089	Pung-Ho
20090	Heuk-Young
20091	Seon-Pyeong
20092	Hwa-Hee
20093	Koe-Pung
20094	Hong-Hae
20095	Seon-Hae
20096	??? ???
20097	Castle Gate
20098	Castle Gate
20099	Castle Gate
20100	Orc Seal
20101	White Horse
20102	Brown Horse
20103	Black Horse
20104	White Horse
20105	Brown Horse
20106	Black Horse
20107	White Horse
20108	Brown Horse
20109	Black Horse
20110	Wild Boar
20111	Wolf
20112	Tiger
20113	Lion
20114	white lion
20115	Wild Battle Boar
20116	Fight Wolf
20117	Storm Tiger
20118	Battle Lion
20119	Noble Black Horse
20120	?????
20121	?????
20122	?????
20123	?????
20124	?????
20125	?????
20126	Santa Claus
20127	Anniversary Banner 1
20128	Anniversary Banner 2
20129	Anniversary Banner 3
20130	Anniversary Banner 4
20131	Anniversary Banner 5
20132	Anniversary Banner 6
20133	Anniversary Banner 7
20134	Sun Banners
20138	Ramadan banner
20139	Guild Banner (Purple)
20140	Guild Banner (Blue/Gr.)
20141	Guild Banner (Red/Gold)
20143	Brown Husky
20144	Christmas Beast
20145	Mrs Santa Clara
20146	Grey Husky
20147	Black Husky
20148	Santa Claus
20149	Schlitten
20157	Sharki1
20158	Sharki2
20159	Sharki3
20160	Wasser Echse
20161	Wasser Beast
20162	Ariel
20163	Sea Fee
20164	Grumpy Fish
20201	??????
20202	??????
20203	?????
20204	???????
20205	?????? ??????
20206	?????? ??????
20207	?????? ?????
20208	?????? ???????
20209	?????? ??????
20210	?????? ??????
20211	?????? ?????
20212	?????? ???????
20213	?????????
20214	?????? ?????????
20215	?????? ?????????
20216	????????
20217	?????? ????????
20218	?????? ????????
20219	blackpony
20220	Komet
20221	test
20222	test
20223	test
20224	test
20225	test
20226	흑유니콘
20227	test
20228	test
20229	test
20230	test
20231	test
20232	test
20233	Muffin (Brown Frills)
20234	Nugget (Brown Frills)
20235	Muffin (Blue Frills)
20236	Nugget (Blue Frills)
20237	Muffin (Green Frills)
20238	Nugget (Green Frills)
20239	Blitzen
20240	Donner
20241	Nugget (Navy Blue)
20242	Muffin (Pink)
20243	NoNAme
20244	Nirvana Dragon
20245	Samsara Dragon
20246	Manny
20247	Ellie
20248	Brown Fight-Tulu
20249	Black Fight-Tulu
20253	Appaloosa
20300	Body-Force Teacher
20301	Mental-Fight Teacher
20302	Blade-Fight Teacher
20303	Archery Teacher
20304	Weaponry Teacher
20305	Black Magic Teacher
20306	Dragon Force Teacher
20307	Healing Force Teacher
20320	Body-Force Teacher
20321	Mental-Fight Teacher
20322	Blade-Fight Teacher
20323	Archery Teacher
20324	Weaponry Teacher
20325	Black Magic Teacher
20326	Dragon Force Teacher
20327	Healing Force Teacher
20340	Body-Force Teacher
20341	Mental-Fight Teacher
20342	Blade-Fight Teacher
20343	Archery Teacher
20344	Weaponry Teacher
20345	Black Magic Teacher
20346	Dragon Force Teacher
20347	Healing Force Teacher
20348	Demon Tower Guard
20349	Stable Boy
20350	Dungeon Guard
20351	Hall Guard
20352	Hasun Stone Memorial
20353	Seul Rong Stone Memorial
20354	City Guard
20355	Captain
20356	Ginseng Collector
20357	Weol Memorial
20358	Nameless Flowers
20359	Lost Box
20360	Wha Memorial
20361	Su Memorial
20362	Mok Memorial
20363	Gum Memorial
20364	Nakajima
20365	To Memorial
20366	Sa-Soe
20367	Catacomb Guard
20368	Peddler
20369	Lee Chung
20370	Poisoned Soldier
20371	Old Gravestone
20372	Worn Stone Tablet
20373	Bodyguard
20374	Guard
20375	Wooden Barricade
20376	Kim Rim
20377	Yak-Hwan
20378	Admiral Angmur
20379	Injured Soldier
20380	Yon-I-Walker
20381	Confucius
20382	Rock Flower
20383	Jae-Seon Kim
20384	Arbre de Noël
20385	Am-heh Gorge
20386	Isfet Stele
20387	Destiny Lock
20388	Dragon Gate
20389	NoNAme
20390	Taramor Gravestone
20391	Sun Herb
20392	Dead Soldier
20393	Wounded Soldier
20394	Fireland Guard
20395	Ice Land Guardian
20396	test
20397	Ice Lion
20398	Arctic Cube
20399	North Dragon Pillar
20400	Waffenkostüm Handel II
20401	Colony Guard
20402	Portal Guard
20403	Amarok
20404	Nagual
20405	Waheela
20406	NoNAme
20407	Fenrir
20408	Temple Guardian
20409	Guardian of the Forest
20410	Scout of the Forest
20411	Outrider of the Forest
20412	Forest Guardian Leader
20413	Kawuco
20414	NoNAme
20415	Portal
20416	Sam Pumpkin
20417	Okey Table
20419	Dragon Watcher Dolnarr
20420	Golden Dragon Chest
20421	Dragon Watcher Jaharr
20422	Dragon Egg
20423	Soul Crystal Alchemist
20424	Ruby Alchemist
20425	Garnet Alchemist
20426	Emerald Alchemist
20427	Sapphire Alchemist
20428	Tourmaline Alchemist
20429	Combat Zone Overseer
20430	Cherie
20431	Anniversary Merchant
20432	Hydra-Egg
20433	Warrior Statue
20434	Mast
20435	Meleys Lane
20436	Steering wheel
20437	Repair Wood
20438	Babawahdan
20470	Milbon Monk
20471	Statue You
20472	Chou Statue
20473	Xu Statue
20474	Chen Statue
20475	Statut de Wu
20476	Shen Statue
20477	Statue Zi
20478	Hai Statue
20479	Mao Statue
20480	Wei Statue
20481	Si Statue
20482	Yin Statue
20483	Portail (You)
20484	Portail (Chou)
20485	Portal (Xu)
20486	Portail (Chen)
20487	Portail (Wu)
20488	Portal (Shen)
20489	Portail (Zi)
20490	Portail (Hai)
20491	Portail (Mao)
20492	Portail (Wei)
20493	Portal (Si)
20494	Portal (Yin)
20500	Dragon Egg
20501	Gayachest
20502	Table Yutnori
20503	Gaya Merchant
20504	Gaya Market
20505	Tiges Yut
20600	Omae Wa-Mou
30000	test
30001	test
30002	1001 Nights
30003	BBQ King
30004	Treasure Hunter
30005	Frugal Flame
30006	Weapons Costume Shop
30007	Armor Costume Shop
30008	Alchemist
30009	Ibn Yebiu
30101	Kud Statue
30102	Basalt Obelisk
30103	Tortoise Rock
30104	Rune Stake
30111	1st Gate of Perdition
30112	2nd Gate of Perdition
30113	3rd Gate of Perdition
30114	4th Gate of Perdition
30115	5th Gate of Perdition
30116	6th Gate of Perdition
30117	7th Gate of Perdition
30118	8th Gate of Perdition
30119	9th Gate of Perdition
30120	Herb Bag
30121	Ghost of a Sura
30122	Ghost of a Warrior
30123	Dark Shrine
30124	Sura-Skeleton 1
30125	Sura-Skeleton 2
30126	Sura-Skeleton 3
30127	Sura-Skeleton 4
30128	Sura-Skeleton 5
30129	Easter Bunny
30130	Gravestone
30131	Mr B.
30132	Mr B.
30301	Vein of Soul Crystal Ore
30302	Vein of Ruby Ore
30303	Vein of Garnet Ore
30304	Vein of Emerald Ore
30305	Vein of Sapphire Ore
30306	Vein of Tourmaline Ore
30307	Summer
33001	?????? ???
33002	Historian
33003	Fasting Citizen
33004	Fasting Citizen
33005	Fasting Citizen
33006	Fasting Citizen
33007	Fasting Citizen
33008	Jack Pumpkin
34001	phoenix1
34002	??? ???
34003	?????????
34004	test
34005	Porky
34006	Rufus
34007	Khan
34008	Leonidas
34009	test
34010	Bambi
34011	test
34012	test
34013	test
34014	test
34016	test
34017	test
34018	test
34019	test
34020	test
34021	test
34022	test
34023	test
34024	test
34026	Pumpkin Head
34027	Little Broomstick
34028	Snowflake
34029	Snowbell
34030	test
34032	Blue Crescent Moon
34033	Red Crescent Moon
34034	Eweriel
34035	Ramblue
34036	Dragonette
34037	Dragonette (Hero)
34039	test
34041	Mini Monkey
34042	Mini Monkey (Hero)
34045	Mini Spider
34046	Mini Spider (Hero)
34049	Mini Razador
34050	Mini Razador (Hero)
34053	Mini Nemere
34054	Mini Nemere (Hero)
34055	Bruce
34056	Wayne
34057	Robin
34058	Valentino
34059	Valentinia
34060	Valentino
34061	Valentinia
34062	Lantern Moon (Orange)
34063	Lantern Moon (Blue)
34064	Mini Meley
34065	Mini Meley
34066	Bonsai
34067	Ms Jiangshi+
34068	Mr Jiangshi+
34069	Jiangshi Jnr
34070	test
34071	test
34072	test
34084	Donnie
34085	Frank
35000	Little Lion
35001	Little Warrior
35035	Canne à sucre Fred
35036	Metin du Temple
35037	Seelenklemptner
35060	Familier de l'Ange
35061	Familier Démoniaque
35070	Phallus du Désert (easy)
35071	Phallus de l'espace (moyen)
35072	Phallus de l'espace (difficile)
35073	Phallus de l'espace (expert)
35074	Dummy
35075	Lymar
35076	Ayaka
35077	Ayumi
35078	Garden door
35079	Botani
35081	Récipient ancien
35082	Fontaine enchantée
35083	Poisoned botani
35084	Champignons
35085	Ruche de miel
35101	Sindarin
35102	Thranduil
35103	Metin de la forêt
35104	Sanctuaire du Thranduils
35105	La progéniture du Sindarin
35200	Garden stone
35201	Pierre de plante
35202	Pierre du jardin du mal
36079	Boss2
36082	Table de BlackJack
36085	Directeur de la Zone de Combat
36100	Ibn Kilab
53276	Ross Nocturnos
53277	Spektralross
60000	Guild Manager
60001	Guild Manager
60002	Guild Manager
60003	Theowahdan
60004	Training Blacksmith
60005	Hungriger Pirat
60006	Wilder Pirat
60007	Dämonischer Pirat
60008	Extremer Pirat
60009	Gardien des cieux
60010	Gardien des enfers
98431	Garden stone
98432	Pierre de plante
98433	Pierre du jardin du mal
99439	Garden door
99441	Botani
99442	Récipient ancien
99443	Fontaine enchantée
99444	Poisoned botani
99445	Champignons
99446	Ruche de miel
