ACCE_ABSORB	Assorbimento bonus
COMB_ATTRIBUTE	Costume 2
GAMEOPTION_TITLE_EXTRA	Opzione Extra
HIDE_COSTUMES	Nascondi costume
GAMEOPTION_HAIR	Acconciatura
SWITCHBOT_TITLE	Gira bonus
SWITCHBOT_ALREADY_ATTACHED	Questo oggetto è già stato aggiunto allo switch bot.  
RENDER_OPT	Ottimizzazione
RENDER_OPT_LOW	Basso
RENDER_OPT_MEDIUM	Medio
RENDER_OPT_HIGH	Alto
SWITCHBOT_SLOT_NAME	Slot %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	You cannot add another item.
SWITCHBOT_BUTTON_START	Start
SWITCHBOT_BUTTON_RESET	Reset
SWITCHBOT_TEMPLATE_TITLE	Modelli
SWITCHBOT_SPEED_SLOW	Slow
SWITCHBOT_SPEED_MEDIUM	Medio
SWITCHBOT_SPEED_NORMAL	Normale
SWITCHBOT_SPEED_PREMIUM	Premium
SHINING_WINDOW_TITLE	Splendente
SWITCHBOT_BUTTON_STOP	Ferma
SWITCHBOT_BUTTON_DELETE	Cancella
SWITCHBOT_PREMIUM_INACTIVE	Premium inactiv
SWITCHBOT_SELECT_DEFAULT	--Scegli--
SWITCHBOT_SELECT_UNKNOWN	!sconosciuto!
MESSENGER_ADD_BLOCK	Block
SWITCHBOT_START_TIME	Inizio
SWITCHBOT_TIME_PASSED	Durata Totale
SWITCHBOT_SWITCHERS_USED	Cambiavalute
SWITCHBOT_CURRENT_SPEED	Velocita
RUNE_MAIN_TITLE	Rune
RUNE_MAIN_GROUP_TITLE1	 Precisione
RUNE_MAIN_GROUP_TITLE_DESC1	Diventa una Leggenda 
RUNE_MAIN_GROUP_DESC1	Rafforza il tuo attacco normale
RUNE_MAIN_GROUP_TITLE2	Dominazione
RUNE_MAIN_GROUP_TITLE_DESC2	Diventa una Leggenda
RUNE_MAIN_GROUP_DESC2	Rafforza i tuoi attacchi contro i mostri
RUNE_MAIN_GROUP_TITLE3	Magico
RUNE_MAIN_GROUP_TITLE_DESC3	Diventa una Leggenda 
RUNE_MAIN_GROUP_DESC3	 Rafforza le tue abilità
RUNE_MAIN_GROUP_TITLE4	Determinazione
RUNE_MAIN_GROUP_TITLE_DESC4	Diventa una Leggenda 
RUNE_MAIN_GROUP_DESC4	Rafforza la tua difesa
RUNE_MAIN_GROUP_TITLE5	Ispirazione 
RUNE_MAIN_GROUP_TITLE_DESC5	Diventa una Leggenda 
RUNE_MAIN_GROUP_DESC5	Rafforza i tuoi amici
RUNE_SUB_MAIN_SELECT1	Seleziona un Keyrun
RUNE_SUB_MAIN_SELECT2	 Seleziona Runa
RUNE_SUB_SUB_SELECT_GROUP	Percorso secondario
RUNE_SUB_SUB_SELECT_RUNE_NOGROUP	Runa aggiuntiva
RUNE_SUB_SUB_SELECT_RUNE	Percorso Secondario
RUNE_SUB_SUBTITLE_TEXT	Chiave Runica
RUNE_TOOLTIP_SAVE	Salva
RUNE_WINDOW_TUTORIAL	Tutorial per lo sistema delle Rune
GAMEOPTION_ACCE	Stola
MINI_GAME_FISH_START_TEXT	Inizio
MINI_GAME_FISH_TITLE	Pesce Puzzle
BANNER_FISH_BUTTON	 Scrivi ad un gamemaster!
MINIGAME_FISH_EVENT_USE_COUNT	Trys
MINI_GAME_FISH_HELP_TEXT	Aiuto
SKINSYSTEM_TITLE	Sistema Skin
SHOP_SEARCH_SORT_DATE_ASC	 Tempo di vendita
XMAS_EVENT_TITLE	 Calendario di natale
OFFLINE_SHOP_SALES_HISTORY	Storia delle vendite
OFFLINE_SHOP_WITHDRAW_GOLD	Paga in Yang
OFFLINE_SHOP_HISTORY_COLUMN1	Oggetto 
OFFLINE_SHOP_HISTORY_COLUMN2	Prezzo
OFFLINE_SHOP_HISTORY_COLUMN3	Acquirente
OFFLINE_SHOP_HISTORY_COLUMN4	Data
OFFLINE_SHOP_AVERAGE_PRICE	Prezzo Medio
OFFLINE_SHOP_SELL_DIALOG_QUESTION	Per quanti yang [ENTER] vuoi vendere il tuo oggetto ?
OFFLINE_SHOP_YOU_GET	Ricevi:
OFFLINE_SHOP_SELL_AVERAGE_PRICE	Vendi al prezzo medio
OFFLINE_SHOP_CHANGE_APPEARANCE	Cambia aspetto
OFFLINE_SHOP_TIME_REMAINING	Tempo rimasto:
SHOP_SEARCH_CAT_ORES	Minerali
SYSTEM_PICK_OPTION	Opzione per il Raccoglimento
PICKUP_CATEGORY_POTION	Pozione
PICKUP_CATEGORY_BOOK	 Libri
PICKUP_CATEGORY_SIZE_TITLE	Dimensioni dello slot
PICKUP_CATEGORY_SIZE_1	1 slot
PICKUP_CATEGORY_SIZE_2	 2 slot
PICKUP_CATEGORY_SIZE_3	3 Spazzi
OPTION_HIDE_NPC_TITLE	Nascondi
OPTION_HIDE_NPC_CAT1	Buffis
OPTION_HIDE_NPC_CAT2	Mounts
OPTION_HIDE_NPC_CAT3	Animali
ZODIAC_CALENDAR	Calendario Zodiacale
SAVE_WINDOW_POS	Salva la pos. della Finestra
NEW_EMOTES	Nuova Emozione
FONT	Carattere
FONT_DEFAULT	Normale
BDAY_EVENT_DESC_D2	Completa piu Dungeon 
BDAY_EVENT_DESC_D3	Distruggi piu Metin
BDAY_EVENT_DESC_D4	Consume most Enchant Item
BDAY_EVENT_DESC_D5	Kill most Monsters
BDAY_EVENT_DESC_D6	Completa la maggior parte dei libri di missione
BDAY_EVENT_DESC_D7	Uccidi i Giocatori  dell'altra Fazione 
BDAY_EVENT_REWARD_D1	10% Forte contro i Boss
BDAY_EVENT_REWARD_D2	Tempo di recupero del Dungeon ridotto del 25%
BDAY_EVENT_REWARD_D3	10% Strong against Metinstones
BDAY_EVENT_REWARD_D4	Diminuisce del 50% il tempo del Biologo
BDAY_EVENT_REWARD_D5	10% forte contro i mostri
BDAY_EVENT_REWARD_D6	Aumenta di 10% le Probabilita 
BDAY_EVENT_REWARD_D7	5% Possibilità di drop oggetti
OPTION_ONLY_ITEM_TEXTTAIL	Dropa
BATTLE_FIELD_MONDAY	LUNEDI
BATTLE_FIELD_TUESDAY	MARTEDÌ
BATTLE_FIELD_WEDNESDAY	 MERCOLEDÌ
BATTLE_FIELD_THURSDAY	GIOVEDI
BATTLE_FIELD_FRIDAY	Venerdì
BATTLE_FIELD_SATURDAY	SABATO
BATTLE_FIELD_SUNDAY	DOMENICA
BATTLE_FIELD_EACH_DAY	%s: |cFF14ff48|h%02i:%02i|h|r - |cFFff1a00|h%02i:%02i|h|r
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	Pozione Richiesta 
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_INFO	Zona di combattimento
BATTLE_FIELD_OPERATION_ONLINE	L'entrata e aperta.
BATTLE_FIELD_OPERATION_OFFLINE	L'accesso e Chiuso.
BATTLE_FILED_RANK	 Rango
BATTLE_FILED_RANK_EMPIRE	Empire
BATTLE_FILED_RANK_NAME	Nome
BATTLE_FILED_RANK_POINT	Punti
ENTER_BATTLE_FIELD	Entra
EXIT_BATTLE_FIELD	Vuoi davvero lasciare la zona di Combattimento?
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Punti Attuali: %d
TOTAL_RANKING	Classifica generale
WEEKLY_RANKING	Classifica settimanale
RESTART_IMMEDIATE	 Reincarnazione
REQUIRED_AMOUNT	Importo Richiesto
DUNGEON_RANKING_WINDOW	Dungeon Rangliste
DAY	Giorno
SWITCHBOT_DROP	Trascina qui il tuo item
OPTION_SNOW	Neve
OPTION_SAVE_WHISPERS	Salva i PM
OPTION_WHISPER_TIMESTAMP	PM timestamp
CUBE_MAKE_ALL	 Crea tutto
AFFECT_GAME_OPTION	influenza le icone
AUCTION_STRICT_SEARCH	 Ricerca esatta
SKILL_COLOR	Colore della Magia
SAVE	Salva
STANDARD	Standard
SKILL_COLOR_CURRENT	Colore attuale:
BLACKJACK_HIT	Colpo
BLACKJACK_STAY	Stai
BLACKJACK_DEALER	 commerciante
BLACKJACK_YOU	Tu
BLACKJACK_BET	Scommetti 
BLACKJACK_START_GAME	Start game
OPTION_MESSENGER_NOTIFICATION	Notif. di Messenger
SHOP_SELL_NOTIFICATION	%sx %s è stato venduto per %s Yang.
SHOP_SELL_NOTIFICATION_TITLE	Aviso di Vendita
EQUIPMENT_PAGE_TITLE	Cambio Ecquipaggiamento
SAFEBOX_INVENTORY_NORMAL	Deposito Normale
OPTION_SELL_NOTIFICATION	Notif. delle vendite
OPTION_HIDE_NPC_CAT4	Negozio 
HOTKEY_TITLE_TEXT	Imposta hotkey
SAFEBOX_INVENTORY_ITEMSHOP	Deposito ItemShop
SAFEBOX_INVENTORY_UPP	Deposito Uppgrade
SAFEBOX_INVENTORY_SKILL	Cassetta di sicurezza dei libri
SAFEBOX_INVENTORY_STONE	Cassaforte con pietre spiritiche
SAFEBOX_INVENTORY_ENCHANT	Bonus Incantevoli safebox
SAFEBOX_INVENTORY_COSTUME	Deposito Costumi
SAFEBOX_INVENTORY_GUILD	Guild safebox
HALLOWEEN_GAME_WIN_TITLE	Halloween reward (Itemshop Storage!)
HALLOWEEN_GAME_WIN_TEXT	You get [ENTER]%s[ENTER]in you'r Itemshop Storage!
