ACCE_ABSORB	Απορρόφηση των μπόνους
OPTION_DISABLE_PICKUP_ARMOR	Πανοπλίες
OPTION_DISABLE_PICKUP_WEAPON	Όπλα
OPTION_DISABLE_PICKUP_ETC	Κοσμήματα
GUILD_DRAGONLAIR_RANKING	Λίστα κατάταξης
GUILD_DRAGONLAIR_RANKING_COUNT	Θέση
GUILD_DRAGONLAIR_RANKING_MEMBER	Μέλη
GUILD_DRAGONLAIR_RANKING_NAME	Συντεχνία
GUILD_DRAGONLAIR_RANKING_TIME	Χρόνος
FAKEBUFF_SKILL_TITLE	Ικανότητες Buffi
ATTRTREE_TITLE_1	Πολεμιστής
ATTRTREE_TITLE_2	Νίντζα
ATTRTREE_TITLE_3	Σούρα
ATTRTREE_TITLE_4	Σαμάνος
ATTRTREE_TITLE_5	Ειδικό
ATTRTREE_TITLE_6	Τέρας
ATTRTREE_REFINE_TITLE	Βελτίωση
ATTRTREE_REFINE_UPGRADE	Βελτίωση
ATTRTREE_REFINE_CANCEL	Ακύρωση
SELECT_METIN_DETACH_TITLE	Αφαίρεση λίθου
SELECT_METIN_DETACH_INFO	Διάλεξε τον λίθο που θες να αφαιρέσεις.
SELECT_METIN_DETACH_BUTTON	Αφαίρεση
SELECT_ATTR_DETACH_TITLE	Αφαίρεση Μπόνους
SELECT_ATTR_DETACH_INFO	Διάλεξε το μπόνους που θες να αφαιρέσεις
SELECT_ATTR_DETACH_BUTTON	Αφαίρεση
QUEST_CATEGORIE_3	Event-Battlepass
QUEST_CATEGORIE_4	Απεριόριστο Μπάτλπας
OFFLINE_SHOP_RENEW_BUTTON	Ανανέωση
DO_REFINE_ALL	Αναβάθμισε τα όλα
OPTION_QUEST_LETTER	Γράμματα αποστολών
OPTION_QUEST_LETTER_SHOW	Show
OPTION_QUEST_LETTER_HIDE	Απόκρυψη
OPTION_PICKUP_ALL	Μάζεμα
OPTION_PICKUP_FAST	Όλα 
OPTION_PICKUP_SLOW	Single
SHOP_SEARCH_SORT_DESC	Ξεχώρισε
SHOP_SEARCH_SORT_ALPHA_AZ	Αλφαβητικά Α-Ω
SHOP_SEARCH_SORT_ALPHA_ZA	Αλφαβητικά Ω-Α
SHOP_SEARCH_SORT_PRICE_ASC	Τιμή με αυξανόμενη φορά
SHOP_SEARCH_SORT_PRICE_DESC	Τιμή με φθίνουσα σειρά
SHOP_SEARCH_CAT_DESC	Κατηγορίες
SHOP_SEARCH_CAT_ALL	Όλα 
SHOP_SEARCH_CAT_WEAPON	Όπλα
SHOP_SEARCH_CAT_ARMOR	Πανοπλία
SHOP_SEARCH_CAT_JEWELLERY	Κοσμήματα
SHOP_SEARCH_CAT_TALISMAN	Φυλαχτό
SHOP_SEARCH_CAT_DRAGONSOUL	Αλχημεία δράκου
SHOP_SEARCH_CAT_COSTUME	Φορεσιά
SHOP_SEARCH_CAT_COSTUME_BONI	Μπόνους φορεσιάς
SHOP_SEARCH_CAT_SKILLS	Ικανότητες
SHOP_SEARCH_CAT_POTIONS	Φίλτρα
SHOP_SEARCH_CAT_USABLE	Αντικείμενα κατανάλωσης
SHOP_SEARCH_CAT_FISHS	Ψάρι
SHOP_SEARCH_CAT_MOUNTS	Υποζύγια
SHOP_SEARCH_CAT_PETS	Σύντροφος
SHOP_SEARCH_CAT_OWNED	Τα αντικείμενά μου
LOGIN_SHRINK	Συρρίκνωσε
LOGIN_EXTEND	Επέκτεινε
OPTION_USENIGHT	Λειτουργία νύχτας
OPTION_CAMERA_DISTANCE_HUGE	Έξτρα μακρυά
SPLIT_ITEM	Χώρισε τα όλα
PLAYER_SELECT_HAIR_TITLE	Επιλογή κουρέματος
EVENT_JOIN_TITLE	Συμμετοχή στο Event
EVENT_JOIN_ACCEPT_BUTTON	Τηλεμεταφορά
EVENT_JOIN_DECLINE_BUTTON	Απόρριψε
OPTION_SHOP_TITLE	Shop Title
REFINE_FAST_CHECK	Μην κλείσεις το παράθυρο
GUILD_MEMBER_MELEY	Ξεκίνα τη φωλιά του Meley
COMB_TITLE	Μεταφορά μπόνους φορεσιάς
COMB_APPEARANCE	Παραλήπτης
COMB_ATTRIBUTE	Πρωτότυπο
GAMEOPTION_TITLE_EXTRA	Επιπλέον επιλογές
HIDE_COSTUMES	Κρύψε τις φορεσιές
GAMEOPTION_HAIR	Κούρεμα
SWITCHBOT_TITLE	Αυτόματο μάγεμα
SWITCHBOT_ALREADY_ATTACHED	Αυτό το αντικείμενο έχει ήδη προσθέσει στο switch bot
RENDER_OPT	Βελτιστοποίηση
RENDER_OPT_LOW	Χαμηλό
RENDER_OPT_MEDIUM	Μέτριο
RENDER_OPT_HIGH	Υψηλό
SWITCHBOT_SLOT_NAME	Θέση %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	Δεν μπορείς να προσθέσεις άλλο αντικείμενο.
SWITCHBOT_BUTTON_START	Αρχή
SWITCHBOT_BUTTON_RESET	Reset
SWITCHBOT_TEMPLATE_TITLE	Templates
SWITCHBOT_SPEED_SLOW	Καθυστέρηση
SWITCHBOT_SPEED_MEDIUM	Μέτριο
SWITCHBOT_SPEED_NORMAL	Κανονικό
SWITCHBOT_SPEED_PREMIUM	Premium
SHINING_WINDOW_TITLE	Λαμπύρισμα
SWITCHBOT_BUTTON_STOP	Σταμάτα
SWITCHBOT_BUTTON_DELETE	Διαγραφή
SWITCHBOT_PREMIUM_INACTIVE	Preimium ανενεργό
SWITCHBOT_SELECT_DEFAULT	-- επίλεξε --
SWITCHBOT_SELECT_UNKNOWN	!άγνωστο!
MESSENGER_ADD_BLOCK	Block
SWITCHBOT_START_TIME	Αρχή
SWITCHBOT_TIME_PASSED	Συνολική διάρκεια
SWITCHBOT_SWITCHERS_USED	Χρησιμοποιημένες αλλαγές
SWITCHBOT_CURRENT_SPEED	Ταχύτητα
RUNE_MAIN_TITLE	Ρούνοι
RUNE_MAIN_GROUP_TITLE1	Ακρίβεια
RUNE_MAIN_GROUP_TITLE_DESC1	Γίνε θρύλος
RUNE_MAIN_GROUP_DESC1	Ενδυνάμωσε τις βασικές επιθέσεις σου
RUNE_MAIN_GROUP_TITLE2	Κυριαρχία
RUNE_MAIN_GROUP_TITLE_DESC2	Γίνε θρύλος
RUNE_MAIN_GROUP_DESC2	Δυνάμωσε τις επιθέσεις σου ενάντια σε τέρατα
RUNE_MAIN_GROUP_TITLE3	Μαγεία
RUNE_MAIN_GROUP_TITLE_DESC3	Γίνε θρύλος
RUNE_MAIN_GROUP_DESC3	Δυνάμωσε τις ικανότητές σου
RUNE_MAIN_GROUP_TITLE4	Αποφασιστικότητα
RUNE_MAIN_GROUP_TITLE_DESC4	Γίνε θρύλος
RUNE_MAIN_GROUP_DESC4	Strengthen your defense
RUNE_MAIN_GROUP_TITLE5	Έμπνευση
RUNE_MAIN_GROUP_TITLE_DESC5	Γίνε θρύλος
RUNE_MAIN_GROUP_DESC5	Δυνάμωσε τους φίλους σου
RUNE_SUB_MAIN_SELECT1	Διάλεξε έναν βασικό ρούνο
RUNE_SUB_MAIN_SELECT2	Διάλεξε ρούνο
RUNE_SUB_SUB_SELECT_GROUP	Secondary path
RUNE_SUB_SUB_SELECT_RUNE_NOGROUP	Επιπλέον ρούνος
RUNE_SUB_SUB_SELECT_RUNE	Secondary path
RUNE_SUB_SUBTITLE_TEXT	Βασικός ρούνος
RUNE_TOOLTIP_SAVE	Αποθήκευσε
RUNE_WINDOW_TUTORIAL	Εκμάθηση συστήματος ρούνων
GAMEOPTION_ACCE	Κορδέλα ώμου
MINI_GAME_FISH_START_TEXT	Εκκίνηση
MINI_GAME_FISH_TITLE	Παιχνίδι ψαροπάζλ
BANNER_FISH_BUTTON	ΠΑΙΧΝΙΔΙ ΨΑΡΟΠΑΖΛ
MINIGAME_FISH_EVENT_USE_COUNT	Ποσότητα
MINI_GAME_FISH_HELP_TEXT	Βοήθεια
SKINSYSTEM_TITLE	Σύστημα φορεσιών
SHOP_SEARCH_SORT_DATE_ASC	Ώρα πώλησης
XMAS_EVENT_TITLE	Χριστουγεννιάτικο ημερολόγιο
OFFLINE_SHOP_SALES_HISTORY	Ιστορικό πωλήσεων
OFFLINE_SHOP_WITHDRAW_GOLD	Τράβηξε Yang
OFFLINE_SHOP_HISTORY_COLUMN1	Item
OFFLINE_SHOP_HISTORY_COLUMN2	Τιμή
OFFLINE_SHOP_HISTORY_COLUMN3	Αγοραστής
OFFLINE_SHOP_HISTORY_COLUMN4	Ημερομηνία
OFFLINE_SHOP_AVERAGE_PRICE	Μέση τιμή
OFFLINE_SHOP_SELL_DIALOG_QUESTION	Για πόσα Yang [ENTER] θα ήθελες να πουλήσεις το αντικείμενό σου ;
OFFLINE_SHOP_YOU_GET	Παίρνεις:
OFFLINE_SHOP_SELL_AVERAGE_PRICE	Πούλα στη μέση τιμή
OFFLINE_SHOP_CHANGE_APPEARANCE	Αλλαγή εμφάνισης
OFFLINE_SHOP_TIME_REMAINING	Εναπομείναντας χρόνος
SHOP_SEARCH_CAT_ORES	Μεταλλεύματα
SYSTEM_PICK_OPTION	Επιλογές μαζέματος
PICKUP_CATEGORY_POTION	Φίλτρα
PICKUP_CATEGORY_BOOK	Βιβλία
PICKUP_CATEGORY_SIZE_TITLE	Μέγεθος θέσης
PICKUP_CATEGORY_SIZE_1	1 θέση
PICKUP_CATEGORY_SIZE_2	2 θέσεις
PICKUP_CATEGORY_SIZE_3	3 θέσεις
OPTION_HIDE_NPC_TITLE	Απόκρυψη
OPTION_HIDE_NPC_CAT1	Buffis
OPTION_HIDE_NPC_CAT2	Υποζύγια
OPTION_HIDE_NPC_CAT3	Pet
ZODIAC_CALENDAR	Ζωδιακό ημερολόγιο
SAVE_WINDOW_POS	Αποθήκευσε την θέση παραθύρου
NEW_EMOTES	Νέα συναισθήματα
FONT	Font
FONT_DEFAULT	Κανονικό
BDAY_EVENT_DESC_D2	Ολοκλήρωσε τις περισσότερες κατακόμβες
BDAY_EVENT_DESC_D3	Νίκησε τα περισσότερα Metins
BDAY_EVENT_DESC_D4	Χρησιμοποίησε τα περισσότερα μαγέματα αντικειμένου
BDAY_EVENT_DESC_D5	Σκότωσε τα περισσότερα τέρατα
BDAY_EVENT_DESC_D6	Τελείωσε τα περισσότερα βιβλία αποστολών
BDAY_EVENT_DESC_D7	Σκότωσε παίχτες από την αντίπαλη πλευρά
BDAY_EVENT_REWARD_D1	10% δυνατό ενάντια σε Boss
BDAY_EVENT_REWARD_D2	25% μικρότερος χρόνος κρυώματος σε κατακόμβες
BDAY_EVENT_REWARD_D3	10% Strong against Metinstones
BDAY_EVENT_REWARD_D4	50% lower cooldown on Biologist Missions
BDAY_EVENT_REWARD_D5	10% δυνατό σε τέρατα
BDAY_EVENT_REWARD_D6	10% αυξημένες πιθανότητες αναβάθμισης
BDAY_EVENT_REWARD_D7	5% πιθανότητα για διπλάσια αντικείμενα
OPTION_ONLY_ITEM_TEXTTAIL	Drop
BATTLE_FIELD_MONDAY	Δευτέρα
BATTLE_FIELD_TUESDAY	Τρίτη
BATTLE_FIELD_WEDNESDAY	Τετάρτη
BATTLE_FIELD_THURSDAY	Πέμπτη
BATTLE_FIELD_FRIDAY	Παρασκευή
BATTLE_FIELD_SATURDAY	Σάββατο
BATTLE_FIELD_SUNDAY	Κυριακή
BATTLE_FIELD_EACH_DAY	%s: |cFF14ff48|h%02i:%02i|h|r  - |cFFff1a00|h%02i:%02i|h|r 
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	Ζήτησε φίλτρο
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_INFO	Ζώνη μάχης
BATTLE_FIELD_OPERATION_ONLINE	Η είσοδος είναι ανοιχτή.
BATTLE_FIELD_OPERATION_OFFLINE	Η είσοδος είναι κλειστή
BATTLE_FILED_RANK	Βαθμός
BATTLE_FILED_RANK_EMPIRE	Αυτοκρατωρία
BATTLE_FILED_RANK_NAME	Όνομα
BATTLE_FILED_RANK_POINT	Πόντοι
ENTER_BATTLE_FIELD	Συμμετοχή
EXIT_BATTLE_FIELD	Θέλεις σίγουρα να φύγεις από τη ζώνη μάχης
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Τωρινοί πόντοι : %d
TOTAL_RANKING	Συνολική κατάταξη
WEEKLY_RANKING	Εβδομαδιαία κατάταξη
RESTART_IMMEDIATE	Αναγέννηση
REQUIRED_AMOUNT	Required amount
DUNGEON_RANKING_WINDOW	Dungeon Rangliste
DAY	Day
SWITCHBOT_DROP	Drag your item here
OPTION_SNOW	Snow
OPTION_SAVE_WHISPERS	Save PM's
OPTION_WHISPER_TIMESTAMP	PM timestamp
CUBE_MAKE_ALL	Craft all
AFFECT_GAME_OPTION	Affect icons
AUCTION_STRICT_SEARCH	Exact search
SKILL_COLOR	Skill color
SAVE	Save
STANDARD	Standard
SKILL_COLOR_CURRENT	Current color:
BLACKJACK_HIT	Hit
BLACKJACK_STAY	Stay
BLACKJACK_DEALER	Dealer
BLACKJACK_YOU	You
BLACKJACK_BET	Bet
BLACKJACK_START_GAME	Start game
OPTION_MESSENGER_NOTIFICATION	Messenger notif.
SHOP_SELL_NOTIFICATION	%sx %s was sold for %s Yang.
SHOP_SELL_NOTIFICATION_TITLE	Sales notification
EQUIPMENT_PAGE_TITLE	Equipment Changer
SAFEBOX_INVENTORY_NORMAL	Normal safebox
OPTION_SELL_NOTIFICATION	Sales notifi.
OPTION_HIDE_NPC_CAT4	Shops
HOTKEY_TITLE_TEXT	Set hotkey
SAFEBOX_INVENTORY_ITEMSHOP	ItemShop safebox
SAFEBOX_INVENTORY_UPP	Upgrade items safebox
SAFEBOX_INVENTORY_SKILL	Books safebox
SAFEBOX_INVENTORY_STONE	Spirit stones safebox
SAFEBOX_INVENTORY_ENCHANT	Enchant bonuses safebox
SAFEBOX_INVENTORY_COSTUME	Costumes safebox
SAFEBOX_INVENTORY_GUILD	Guild safebox
HALLOWEEN_GAME_WIN_TITLE	Halloween reward (Itemshop Storage!)
HALLOWEEN_GAME_WIN_TEXT	You get [ENTER]%s[ENTER]in you'r Itemshop Storage!
