TOOLTIP_ACCE_ATTR_MAX_INFO	(μεγ. %s)
GUILD_MEMBER_KNIGHT	Πολεμιστής
GUILD_MEMBER_LEVEL	Επίπεδο
GUILD_MEMBER_NAME	Μέλος
GUILD_MEMBER_RANK	Θέση
GUILD_MEMBER_SPECIFIC_GRAVITY	Δωρισμένη ΕΜΠ
GUILD_NAME	Όνομα συντεχνίας
GUILD_NOT_ENOUGH_MATERIAL	Δεν έχεις αρκετό υλικό γι' αυτό το κτίριο.
GUILD_NOT_ENOUGH_MONEY	Δεν έχεις αρκετά Yang γι' αυτό το κτίριο.
GUILD_NO_NOTICE_PERMISSION	Δεν έχεις δικαίωμα να κάνεις αναγγελίες.
GUILD_OBJECT	Αντικείμενα
GUILD_OFFER_EXP	Επένδυση εμπειρίας
GUILD_SHORT_EXP	Μη επαρκής εμπειρία.
GUILD_TILE_BASEINFO	Στοιχεία γης
GUILD_TILE_BOARD	Σημειώσεις συντεχνίας
GUILD_TILE_GRADE	Διαχείριση δικαιωμάτων
GUILD_TILE_INFO	Πληροφορίες Συντεχνίας
GUILD_TILE_MEMBER	Μέλη
GUILD_TILE_SKILL	Ικανότητα Συντεχνίας
GUILD_USE_MASTER_ONLY	Μόνο ο αρχηγός της συντεχνίας έχει αυτό το δικαίωμα.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Περιοχή πολέμων συντεχνίας
GUILD_WAR2	Περιοχή πολέμων συντεχνίας
GUILD_WAR3	Περιοχή πολέμων συντεχνίας
GUILD_WAR4	Περιοχή πολέμων συντεχνίας
GUILD_WAR_GAINSCORE_FIFTY	50 πόντοι
GUILD_WAR_GAINSCORE_HUNDRED	100 πόντοι
GUILD_WAR_GAINSCORE_THIRTY	30 πόντοι
GUILD_WAR_GAMETIME_SIXTY	60 λεπτά
GUILD_WAR_GAMETIME_TEN	10 λεπτά
GUILD_WAR_GAMETIME_THIRTY	30 λεπτά
GUILD_WAR_LIMIT_30MIN	Χρόνος: 30 Λεπτά
GUILD_WAR_REWARD_POTION	Ανταμοιβή: Ο νικητής κερδίζει Φίλτρα
GUILD_WAR_SELECT_WAR	Επιλογή είδους μάχης
GUILD_WAR_TYPE_DEFENSE	Μάχη ασπίδων
GUILD_WAR_TYPE_DIE	Μάχη αρένας
GUILD_WAR_TYPE_FLAG	Μάχη σημαίας
GUILD_WAR_TYPE_NORMAL	Μάχη πεδίου
GUILD_WAR_TYPE_TIGER	Μάχη καταστροφής
GUILD_WAR_TYPE_TIME	Επίθεση χρόνου
GUILD_WAR_USE_BATTLE_MAP	Τόπος: Αρένα πολέμων συντεχνιών
GUILD_WAR_USE_NORMAL_MAP	Τόπος: Κανονικός χάρτης
GUILD_WAR_WIN_CHECK_SCORE	Η συντεχνία με τις περισσότερες νίκες κερδίζει τον πόλεμο.
GUILD_WAR_WIN_FIVE	Πέντε γύροι
GUILD_WAR_WIN_ONE	Ένας γύρος
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Άρπαξε την σημαία του εχθρού
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	και πήγαινέ την στην βάση σου.
GUILD_WAR_WIN_THREE	Τρεις γύροι
GUILD_WAR_WIN_WIPE_OUT_GUILD	Νίκησε όλους τους εχθρούς για να κερδίσεις.
GUILD_WITHDRAW	Υποχώρηση
GUILD_YOU_DO_NOT_JOIN	Δεν είσαι μέλος Συντεχνίας.
HORSE_HEALTH0	Νεκρό
HORSE_HEALTH1	Πολύ πεινασμένο
HORSE_HEALTH2	Πεινασμένο
HORSE_HEALTH3	Χορτάτο
HORSE_LEVEL1	Κανονικό άλογο
HORSE_LEVEL2	Άλογο μάχης
HORSE_LEVEL3	Στρατιωτικό άλογο
HOUR	Ώρες
HOW_MANY_ITEM_DO_YOU_DESTROY1	Θα ήθελες να καταστρέψεις %s ;
HOW_MANY_ITEM_DO_YOU_DESTROY2	Θες να καταστρέψεις %dx %s ;
HOW_MANY_ITEM_DO_YOU_DROP1	Θέλεις να πετάξεις το αντικείμενο %s;
HOW_MANY_ITEM_DO_YOU_DROP2	Θέλεις να πετάξεις %s %d;
HOW_MANY_ITEM_DO_YOU_DROP_OR_DESTROY1	Θες να πετάξεις η να καταστρέψεις %s ;
HOW_MANY_ITEM_DO_YOU_DROP_OR_DESTROY2	Θες να πετάξεις ή να καταστρέψεις %dx %s;
INPUT_MATRIX_CARD_NUMBER	Εισάγαγε αριθμό Matrix Card
INPUT_MATRIX_CARD_TITLE	Matrix Card
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Είσαγε τον κώδικα που δημιούργησες στη Διοίκηση Λογαριασμού, εδώ.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Διαγραφή χαρακτήρα
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Αυτός ο Πάπυρος δεν μπορεί να συνδυαστεί.
INVENTORY_REALLY_USE_ITEM	Να χρησιμοποιηθεί το αντικείμενο επάνω σε αυτό;
JOB_ASSASSIN	Νίντζα
JOB_ASSASSIN0	Κενό
JOB_ASSASSIN1	Νίντζα εξ επαφής
JOB_ASSASSIN2	Νίντζα εξ αποστάσεως
JOB_SHAMAN	Σαμάνος
JOB_SHAMAN0	Κενό
JOB_SHAMAN1	Δρακοσαμάνος
JOB_SHAMAN2	Ιατροσαμάνος
JOB_SURA	Sura
JOB_SURA0	Κενό
JOB_SURA1	Sura Όπλων
JOB_SURA2	Sura Μαγείας
JOB_WARRIOR	Πολεμιστής
JOB_WARRIOR0	Κενό
JOB_WARRIOR1	Σωματοπολεμιστής
JOB_WARRIOR2	Πνευματοπολεμιστής
LEFT_TIME	Υπόλ. Χρόνος
LOGIN_CONNECT_FAILURE	Σφάλμα κατά τη σύνδεση με τον σέρβερ.
LOGIN_CONNECT_SUCCESS	Συνδέθηκες με τον σέρβερ.
LOGIN_CONNETING	Περίμενε. Συνδέεσαι με το διακομιστή.
LOGIN_FAILURE_ALREAY	Ο Λογαριασμός σου είναι ήδη συνδεδεμένος!
LOGIN_FAILURE_BE_SAME_KEY	Πρόβλημα σύνδεσης
LOGIN_FAILURE_BLOCK_ID	Αυτός ο Λογαριασμός έχει αποκλειστεί.
LOGIN_FAILURE_BLOCK_HWID	Ο υπολογιστής σου είναι μπλοκαρισμένος για %s.
LOGIN_FAILURE_BLOCK_LOGIN	Παρακαλώ διαλέξτε έναν άλλο σέρβερ.
LOGIN_FAILURE_NOBILL	Ο Λογαριασμός σου δεν έχει χρόνο παιχνιδιού.
LOGIN_FAILURE_NOT_AVAIL	Ο λογαριασμός είναι προσωρινά αποκλεισμένος για %s.
LOGIN_FAILURE_NOT_EXIST_ID	Λάθος λογαριασμός ή κωδικός.
LOGIN_FAILURE_REPAIR_ID	Σε αυτόν το Λογαριασμό αποκαθίστανται αντικείμενα.
LOGIN_FAILURE_SHUTDOWN	Ο σέρβερ δεν έχει ανοίξει ακόμη.
LOGIN_FAILURE_TOO_MANY_USER	Δεν μπορείς να συνδεθείς, γιατί είναι συνδεδεμένοι πάρα πολλοί παίκτες.
LOGIN_FAILURE_UNKNOWN	Δεν μπόρεσες να εγγραφείς για άγνωστη αιτία.
LOGIN_FAILURE_WEB_BLOCK	Έχεις αποκλειστεί από την Ιστοσελίδα. Παρακαλούμε έλεγξε τα e-mail σου.
LOGIN_FAILURE_BRUTEFORCE	Ανιχνεύθηκαν πολλές αποτυχημένες προσπάθειες σύνδεσης. Ο υπολογιστής σας είναι προσωρινά αποκλεισμένος %s για οποιαδήποτε προσπάθεια σύνδεσης.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Εισήγαγες λάθος αριθμό.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Εισήγαγες λάθος αριθμό τρεις φορές. /n Η σύνδεσή σου τερματίζεται.
LOGIN_FAILURE_WRONG_PASSWORD	Λάθος λογαριασμός ή κωδικός.
LOGIN_INPUT_ID	Εισάγαγε το ID.
LOGIN_INPUT_PASSWORD	Εισάγαγε το συνθηματικό.
LOGIN_PROCESSING	Γίνεται εγγραφή...
MALL_CANNOT_INSERT	Δεν μπορείς να τοποθετήσεις το Αντικείμενο.
MALL_PASSWORD_TITLE	Συνθηματικό
MAP_A1	Περιοχή Yongan
MAP_A2	Κοιλάδα του Seungryong
MAP_A3	Περιοχή Yayang
MAP_AG	Jungrang
MAP_B1	Περιοχή Joan
MAP_B2	Κοιλάδα του Imji
MAP_B3	Περιοχή Bokjung
MAP_BG	Waryong
MAP_C1	Περιοχή Pyungmoo
MAP_C2	Κοιλάδα του Bangsan
MAP_C3	Περιοχή Bakra
MAP_CG	Imha
MAP_DESERT	Έρημος Yongbi
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Χώρα Γιγάντων
MAP_SKELTOWER	Πύργος Gumsan
MAP_SNOW	Όρος Sohan
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Ναός του Hwang
MAP_TREE	Lungsam
MAP_TRENT02	Κόκκινο Δάσος
MAP_WL	Κοιλάδα των Φιδιών
MESSENGER_ADD_FRIEND	Πρόσθεσε Φίλο
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	Ο %s σε πρόσθεσε ως φίλο.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Δέχεσαι;
MESSENGER_DO_YOU_DELETE	Διαγραφή;
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Θέλεις να διαγράψεις το νούμερο κινητού;
MESSENGER_DO_YOU_MOVE	Θέλεις να συνεχίσεις;
MESSENGER_EMPTY_LIST	Άδειο
MESSENGER_FAMILY	Οικογένεια
MESSENGER_FRIEND	Φίλοι
MESSENGER_GUILD	Συντεχνία
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Εισάγαγε τον αριθμό επιβεβαίωσης που στάλθηκε στο κινητό σου.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Εισαγωγή αριθμού επιβεβαίωσης
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Εισάγαγε τον αριθμό κινητού τηλεφώνου για την αποστολή του SMS.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Θέλεις να εισαγάγεις τώρα τον αριθμό;
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Εισαγωγή αριθμού κινητού τηλεφώνου
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Αποστολή μηνύματος
MINIMAP	Άνοιγμα μικρού χάρτη
MINIMAP_CANNOT_SEE	Δεν μπορείς να δεις το Μικρό Χάρτη.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Ο Μικρός Χάρτης δε μπορεί να εμφανιστεί.
MINIMAP_DEC_SCALE	Ελαχιστοποίηση
MINIMAP_INC_SCALE	Μεγιστοποίηση
MINIMAP_OBSERVER_COUNT	%d παρατηρητές
MINIMAP_SHOW_AREAMAP	Άνοιγμα μεγάλου χάρτη
MINUTE	Λεπ.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Δέκα Χιλιάδες
MONETARY_UNIT2	Εκατό Εκατομμύρια
MONETARY_UNIT_GAYA	Gaya
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Δεν μπορείς να μετακινήσεις αντικείμενα όσο είναι ανοιχτό το ιδιωτικό κατάστημα.
MUSIC_EMPTY_MUSIC_LIST	Δεν υπάρχει μουσική περιβάλλοντος.
MUSIC_METIN2_DEFAULT_THEMA	Συνήθης μουσική Metin2
MUSIC_NOT_SELECT_MUSIC	Δεν επιλέχθηκε αρχείο μουσικής.
NEEFD_REST	Πρέπει να ξεκουραστείς πρώτα.
NOT_YET_SUPPORT	Δεν υποστηρίζεται.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Δεν μπορείς να ενεργοποιήσεις Mode Συντεχνίας όταν δεν ανήκεις σε Συντεχνία.
OPTION_PVPMODE_NOT_SUPPORT	Δεν μπορείς να επιλέξεις αυτή τη ρύθμιση στο PvP.
OPTION_PVPMODE_PROTECT	Πρέπει να έχεις φτάσει στο επίπεδο %d για να αλλάξεις την εφαρμογή PvP.
PARTY_BONUS_ATTACKER	Αξία Επίθεσης: +%d	SA
PARTY_BONUS_BERSERKER	Ταχύτητα Επίθεσης: +%d	SA
PARTY_BONUS_BUFFER	Διάρκεια Ικανοτήτων: +%d	SA
PARTY_BONUS_DEFENDER	Άμυνα: +%d	SA
PARTY_BONUS_EXP	Μπόνους ΕΜΠ: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Μεγ. SP: +%d	SA
PARTY_BONUS_TANKER	Μεγ. HP: +%d	SA
PARTY_BREAK_UP	Διάλυση Ομάδας
PARTY_DO_YOU_ACCEPT	: Θέλει να γίνει μέλος της ομάδας.
PARTY_DO_YOU_JOIN	 σε κάλεσε στην ομάδα του. Αποδέχεσαι;
PARTY_EXP_DISTRIBUTION_MODE	Κατανομή ΕΜΠ
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Εξαρτ. από επίπεδο
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Τα μέλη της ομάδας με μεγαλύτερο επίπεδο αποκτούν περισσότερη εμπειρία.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Ομοιόμορφα
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Όλα τα μέλη της ομάδας κερδίζουν την ίδια ΕΜΠ.
PARTY_HEAL_ALL_MEMBER	Αποκατάσταση όλων
PARTY_INCREASE_AREA_150	Η ακτίνας ομάδας αναβαθμίστηκε κατά παράγοντα 1,5.	SNA
PARTY_INCREASE_AREA_200	Η ακτίνας ομάδας αναβαθμίστηκε κατά παράγοντα 2.	SNA
PARTY_LEAVE	Έξοδος από ομάδα
PARTY_LONGTIME_BONUS_EXP	Bonus ΕΜΠ για μεγάλο παιχν. ομάδας: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Κλήση μέλους ομάδας
PARTY_REGEN_BONUS	Μπόνους αναγέννησης HP + SP: +%d%%	SA
PARTY_REQUEST_DENIED	Η αίτηση σου απορρίφθηκε.
PARTY_SET_ATTACKER	Ορισμός ως Επιτιθέμενος
PARTY_SET_BERSERKER	Ορισμός ως Μπερζέρκερ
PARTY_SET_BUFFER	Ορισμός ως Απόκρουση
PARTY_SET_DEFENDER	Ορισμός ως Αμυνόμενος
PARTY_SET_NORMAL	Ανάκληση ρύθμισης
PARTY_SET_SKILL_MASTER	Επιλογή ώς βασικής ικανότητας.
PARTY_SET_TANKER	Σύνταξη μαχητή Σώμα με Σώμα
PARTY_SKILL_ATTACKER	Βασική επίθεση επιτιθέμενου +%.0f
PARTY_SKILL_BERSERKER	Ταχύτητα επίθεσης Μπερζέρκερ +%.0f
PARTY_SKILL_BUFFER	Διάρκεια Ικανότητας Μπλοκ +%.0f
PARTY_SKILL_DEFENDER	Άμυνα αμυνόμενου +%.0f
PARTY_SKILL_HP_REGEN	Αναπλήρωση HP +%.0f%%
PARTY_SKILL_PARTY_AREA	Ακτίνα Ομάδας +%d%%
PARTY_SKILL_SKILL_MASTER	Max. SP Ικανότητα Master +%.0f
PARTY_SKILL_SP_REGEN	Αναπλήρωση SP +%.0f%%
PARTY_SKILL_TANKER	Mεγ. HP Μαχητή Σώμα με Σώμα +%.0f
PARTY_SKILL_WARP	Μπορείς να καλέσεις μέλη ομάδας.
PASSWORD_TITLE	Κωδικός αποθήκης
PICK_ITEM_TITLE	Αρ. Αντικειμένου
PICK_MONEY_TITLE	Ποσό
PRIVATE_SHOP_CANNOT_SELL_ITEM	Δε μπορείς να πουλήσεις αυτό το Αντικείμενο σε Ιδιωτικό Κατάστημα.
PRIVATE_SHOP_CLOSE_QUESTION	Θέλεις να κλείσεις το Ιδιωτικό Κατάστημα;
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Όνομα ιδιωτικού Καταστήματος
OFFLINE_SHOP_INPUT_NAME_DIALOG_TITLE	Όνομα μαγαζιού εκτός σύνδεσης
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Τιμή
PVP_NEW_GOOD4	Ritterlich
PVP_NEW_GOOD3	Legende
PVP_NEW_GOOD2	Exzellent
PVP_NEW_GOOD1	Ordnungshüter
PVP_LEVEL0	Ιπποτικός
PVP_LEVEL1	Ευγενής
PVP_LEVEL2	Καλός
PVP_LEVEL3	Φιλικός
PVP_LEVEL4	Ουδέτερος
PVP_LEVEL5	Επιθετικός
PVP_LEVEL6	Απατηλός
PVP_LEVEL7	Κακόβουλος
PVP_LEVEL8	Σκληρός
PVP_NEW_BAD1	Gewalttätig
PVP_NEW_BAD2	Brutal
PVP_NEW_BAD3	Krank
PVP_NEW_BAD4	Grausam
PVP_MODE_GUILD	Ενεργό PvP Συντεχνία
PVP_MODE_KILL	Ενεργό PvP Ελεύθερο
PVP_MODE_NORMAL	Ενεργό PvP Ειρήνη
PVP_MODE_PROTECT	Ενεργό PvP προστασία
PVP_MODE_REVENGE	Ενεργό PvP Εχθρικό
PVP_OPTION_KILL	Ελεύθερο
PVP_OPTION_NORMAL	Ειρήνη
PVP_OPTION_PROTECT	Προστασία
PVP_OPTION_REVENGE	Εχθρικό
QUEST_APPEND	Ανέλαβες νέα Αποστολή
QUEST_MIN	Λεπ.
QUEST_SEC	Δευτ.
QUEST_TIMEOVER	Λήξη Χρόνου
QUEST_UNLIMITED_TIME	Χωρίς χρονικό όριο
QUEST_ZEROSEC	0 Δευτ.
QUICKSLOT_REGISTER_DISABLE_ITEM	Το αντικείμενο δε μπορεί να προστεθεί στο Πεδίο Γρήγορης Πρόσβασης.
RECEIVE_MESSAGE	Ο %s σου έστειλε μήνυμα.
REFINE_COST	Κόστος βελτίωσης: %d Yang
REFINE_DESTROY_WARNING	Το Αντικείμενο μπορεί να καταστραφεί κατά τον εξευγενισμό.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Θέλεις να αναβαθμίσεις αυτό το αντικείμενο;
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Σε περίπτωση αποτυχία, το αντικείμενο θα καταστραφεί. Θέλεις να συνεχίσεις;
REFINE_DOWN_GRADE_WARNING	Το αντικείμενο μπορεί να υποβαθμιστεί κατά τον εξευγενισμό.
REFINE_DO_YOU_SEPARATE_METIN	Να αφαιρεθούν όλοι οι Λίθοι Πνεύματος;
REFINE_FAILURE	Δεν λειτούργησε. Αποτύχαμε.
REFINE_FAILURE_CAN_NOT_ATTACH0	%s δεν μπορεί να συνδεθεί σε αυτό το αντικείμενο
REFINE_FAILURE_EQUIP_ITEM	Δεν μπορείς να βελτιώσεις αντικείμενα που φοράς.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Δε μπορεί να αφαιρεθεί η Λίθος Metin.
REFINE_FAILURE_NEED_BETTER_SCROLL	Χρειάζεσαι καλύτερο Πάπυρο Προόδου.
REFINE_FAILURE_NO_GOLD_SOCKET	Δεν υπάρχει Χρυσή υποδοχή για να προστεθεί το %s.
REFINE_FAILURE_NO_MORE_SOCKET	Δεν μπορείς να φτιάξεις άλλες υποδοχές.
REFINE_FAILURE_NO_SOCKET0	Δεν υπάρχει ελεύθερη υποδοχή για το %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Δεν μπορείς να φτιάξεις υποδοχές σε αυτό το αντικείμενο.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Το αντικείμενο δεν μπορεί να βελτιωθεί.
REFINE_SUCCESS	Η βελτίωση ήταν επιτυχής.
REFINE_SUCCESS_PROBALITY	Πιθανότητα βελτίωσης: %d%%
REFINE_WARNING2	Θέλεις να συνεχίσεις;
SAFEBOX_ERROR	Εισήγαγες λάθος συνθηματικό.
SAFEBOX_SELL_DISABLE_SAFEITEM	Δεν μπορείς να πουλήσεις αποθηκευμένα αντικείμενα.
SAFEBOX_WRONG_PASSWORD	Τα συνθηματικά πρέπει να είναι ακριβώς τα ίδια.
SCREENSHOT_SAVE1	αποθηκεύτηκε στο
SCREENSHOT_SAVE2	Φάκελος Στιγμιοτύπων
SCREENSHOT_SAVE_FAILURE	Απέτυχε η αποθήκευση στιγμιοτύπων.
SECOND	Δευτ.
SELECT_CAN_NOT_DELETE	Δεν μπορείς να διαγράψεις τον χαρακτήρα.
SELECT_CHANGED_NAME	Άλλαξες το όνομα χαρακτήρα σου.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Το όνομα του χαρακτήρα υπάρχει ήδη.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Προσπάθησε ξανά.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Λάθος όνομα χαρακτήρα.
SELECT_CHANGE_NAME_TITLE	Αλλαγή ονόματος χαρακτήρα
SELECT_DELEING	Ο χαρακτήρας θα διαγραφεί.
SELECT_DELETED	Η διαγραφή ολοκληρώθηκε.
SELECT_DO_YOU_DELETE_REALLY	Θέλεις να συνεχίσεις;
SELECT_EMPTY_SLOT	Το πεδίο είναι κενό.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Εισαγωγή νέου ονόματος.
SELECT_NOT_JOIN_GUILD	Χωρίς Συντεχνία
SHOP_BUY_INFO	Διάλεξε στο παράθυρο του καταστήματος, ποια αντικείμενα θέλεις να αγοράσεις.
SHOP_CANNOT_SELL_EQUIPMENT	Δεν μπορείς να πουλήσεις αντικείμενα που φοράς.
SHOP_CANNOT_SELL_ITEM	Το Αντικείμενο δεν μπορεί να πουληθεί.
SHOP_ERROR_UNKNOWN	Άγνωστο Σφάλμα Καταστήματος: %s
SHOP_INVALID_POS	Δεν μπορεί να χρησιμοποιηθεί εδώ.
SHOP_INVENTORY_FULL	Ο κατάλογός σου είναι γεμάτος.
SHOP_NOT_ENOUGH_MONEY	Ανεπαρκή Won ή Yang
SHOP_NOT_ENOUGH_MONEY_EX	Δεν έχεις αρκετό Yang.
SHOP_SELL_INFO	Επίλεξε το αντικείμενο που θέλεις να πουλήσεις στον κατάλογο.
SHOP_SOLDOUT	Εξαντλήθηκαν όλα
SHOT_ERROR_UNKNOWN	Άγνωστο σφάλμα στην επίθεση από απόσταση: %s
SKILL_BOHO	Ανάκλαση
SKILL_BUDONG	Δεν χρησιμοποιείτε πια
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Χρειάζεσαι ΕΜΠ για να μάθεις αυτή την Ικανότητα.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Χρειάζεσαι ένα βιβλίο για να μάθεις αυτή την Ικανότητα.
SKILL_CHEONGEUN	Δυνατό Σώμα
SKILL_CRITICAL	Κρίσιμο χτύπημα
SKILL_ENCHANT_POISON	Χρήση δηλητηρίου
SKILL_EUNHYEONG	Εξαφάνιση
SKILL_FAINT	Λιποθυμία
SKILL_FIND_TRAP	Βρες Παγίδα
SKILL_FIRE	Μόνιμη Φωτιά
SKILL_FISHMIND	Ενεργός Βόλος Ψαρέματος
SKILL_GAMJI	Σύλληψη
SKILL_GEOMGYEONG	Αύρα του Ξίφους
SKILL_GEONGON	Υπεράσπιση Πλοίου
SKILL_GICHEON	Βοήθεια του Δράκου
SKILL_GIGONG	Chi Περιστροφή
SKILL_GONGPO	Φόβος
SKILL_GRADE_NAME_GRAND_MASTER	%s Αρχιμάστορας
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Τέλειος
SKILL_GRADE_NAME_LEGENDARY_MASTER	%s Μυθικός Κύριος
SKILL_GROUP_ASSASSIN_1	Λεπίδα
SKILL_GROUP_ASSASSIN_2	Τόξο
SKILL_GROUP_HORSE	Ιππευτικές Ικανότητες
SKILL_GROUP_SHAMAN_1	Δράκοντας
SKILL_GROUP_SHAMAN_2	Θεραπεία
SKILL_GROUP_SURA_1	Όπλο
SKILL_GROUP_SURA_2	Μαγεία
SKILL_GROUP_WARRIOR_1	Σώμα
SKILL_GROUP_WARRIOR_2	Πνεύμα
SKILL_GROUP_WOLFMAN	Ικανότητες
SKILL_GWIGEOM	Μαγεμένη Λεπίδα
SKILL_GYEONGGONG	Βάδισμα Φτερού
SKILL_HEUKSIN	Μαύρη Προστασία
SKILL_HOSIN	Ευλογία
SKILL_HWAYEOM	SKILL_HWAYEOM Wird nicht mehr benutzt
SKILL_HYEOLMA	SKILL_HYEOLMA Wird nicht mehr benutzt
SKILL_INC_ATKSPD	Αυξημένη ταχύτητα επίθεσης
SKILL_INC_MOVSPD	Αυξημένη ταχύτητα
SKILL_INMA	SKILL_INMA Wird nicht mehr benutzt
SKILL_JEOJU	Κατάρα
SKILL_JEONGEOP	Θεραπεία
SKILL_JEONGWI	Έξαψη Μάχης
SKILL_JEONSINBANGEO	Τέλεια άμυνα
SKILL_JEONSINGONGGYEOK	Τέλεια Επίθεση
SKILL_JEUNGCHE	SKILL_JEUNGCHE Wird nicht mehr benutzt
SKILL_JEUNGHON	SKILL_JEUNGHON Wird nicht mehr benutzt
SKILL_JEUNGRYEOK	Επίθεση +
SKILL_JEUNGSOK	Ταχύτητα +
SKILL_JIGAM	SKILL_JIGAM Wird nicht mehr benutzt
SKILL_JIPJUNG	SKILL_JIPJUNG Wird nicht mehr benutzt
SKILL_JUMAGAP	Μαγική Πανοπλία
SKILL_JUMAGEOM	SKILL_JUMAGEOM Wird nicht mehr benutzt
SKILL_KWAEGEOM	SKILL_KWAEGEOM Wird nicht mehr benutzt
SKILL_KWAESOK	Ταχύτητα
SKILL_LEGBOUND	SKILL_LEGBOUND Wird nicht mehr benutzt
SKILL_MUSA	SKILL_MUSA Wird nicht mehr benutzt
SKILL_MUYEONG	Φάντασμα της Φλόγας
SKILL_NEED_EMPTY_BOTTLE	Δεν έχω άδειο Μπουκάλι.
SKILL_NEED_POISON_BOTTLE	Δεν έχω Μπουκάλι Δηλητηρίου.
SKILL_ONLY_FOR_GUILD_WAR	Μπορείς να χρησιμοποιήσεις την ικανότητα μόνο σε Πόλεμο Συντεχνιών.
SKILL_PABEOP	Αντιμαγεία
SKILL_POWERFUL_STRIKE	Επίθεση Αποχαύνωσης
SKILL_SEOMGWANG	Βόμβα Αστραπής
SKILL_SINCHAK	SKILL_SINCHAK Wird nicht mehr benutzt
SKILL_SLEEP	Ύπνος
SKILL_SLOW	Αργά
SKILL_STUN	Σάστισμα
SKILL_SUHO	Φρουρός
SKILL_SUMMON_DESCRIPTION	Πιθανότητα Επίκλησης: %d%%
SKILL_TOOLTIP_INT	Ευφυΐα
SKILL_TOOLTIP_LEVEL	Επίπεδο
SKILL_TOXICDIE	Δηλητηρίαση
SKILL_TOXICPOWER	Αυξήθηκε η δύναμη δηλητηριώδους επίθεσης.
SKILL_TUSOK	Στοιχειωμένο Χτύπημα
SKILL_WONSIN	UNUSED
SKILL_YONGSIN	UNUSED
STAT_MINUS_CON	Προσαρμογή Ζωτικότητας (Πιθανότητα: %d)
STAT_MINUS_DEX	Προσαρμογή Ευκινησίας (απομένει πιθανότητα: %d)
STAT_MINUS_INT	Ρύθμιση Ευφυΐας (Πιθανότητα: %d)
STAT_MINUS_STR	Προσαρμογή Δύναμης (Πιθανότητα: %d)
STAT_TOOLTIP_CON	Αύξηση HP και άμυνας
STAT_TOOLTIP_DEX	Αυξάνει επίθεση και αποφυγή
STAT_TOOLTIP_INT	Αύξηση SP, Μαγικής Επίθεσης και Άμυνας
STAT_TOOLTIP_STR	Αυξάνει αξία επίθεσης και ζημιά
SYMBOLLIST_TITLE	Καταχώριση σημαίας Συντεχνίας
SYSTEM_OPTION_CPU_TILING_1	Η κατάσταση CPU Tiling μπορεί να αναβαθμίσει την ταχύτητα ενός αργού υπολογιστή.
