ACCE_ABSORB	Absorción de las bonificaciones
SWITCHBOT_BUTTON_START	Start
SWITCHBOT_BUTTON_RESET	Reset
SWITCHBOT_TEMPLATE_TITLE	Templates
SWITCHBOT_SPEED_SLOW	Slow
SWITCHBOT_SPEED_MEDIUM	Meduim
SWITCHBOT_SPEED_NORMAL	Normal
SWITCHBOT_SPEED_PREMIUM	Premium
SHINING_WINDOW_TITLE	Shining
SWITCHBOT_BUTTON_STOP	Stop
SWITCHBOT_BUTTON_DELETE	Delete
SWITCHBOT_PREMIUM_INACTIVE	Premium inactiv
SWITCHBOT_SELECT_DEFAULT	-- choose -- 
SWITCHBOT_SELECT_UNKNOWN	!unknown!
MESSENGER_ADD_BLOCK	Block
SWITCHBOT_START_TIME	Start
SWITCHBOT_TIME_PASSED	Total Duration
SWITCHBOT_SWITCHERS_USED	Spent Changers
SWITCHBOT_CURRENT_SPEED	Speed
RUNE_MAIN_TITLE	Runes
RUNE_MAIN_GROUP_TITLE1	Precision
RUNE_MAIN_GROUP_TITLE_DESC1	Become a Legend
RUNE_MAIN_GROUP_DESC1	Strengthen your normal attacks
RUNE_MAIN_GROUP_TITLE2	Dominance
RUNE_MAIN_GROUP_TITLE_DESC2	Become a Legend
RUNE_MAIN_GROUP_DESC2	Strengthen your attacks against monsters
RUNE_MAIN_GROUP_TITLE3	Magic
RUNE_MAIN_GROUP_TITLE_DESC3	Become a Legend
RUNE_MAIN_GROUP_DESC3	Strengthen Your Skills
RUNE_MAIN_GROUP_TITLE4	Determination
RUNE_MAIN_GROUP_TITLE_DESC4	Become a Legend
RUNE_MAIN_GROUP_DESC4	Strengthen your defense
RUNE_MAIN_GROUP_TITLE5	Inspiration
RUNE_MAIN_GROUP_TITLE_DESC5	Become a Legend
RUNE_MAIN_GROUP_DESC5	Strengthen your friends
RUNE_SUB_MAIN_SELECT1	Select a Keyrune
RUNE_SUB_MAIN_SELECT2	Select Rune
RUNE_SUB_SUB_SELECT_GROUP	Secondary path
RUNE_SUB_SUB_SELECT_RUNE_NOGROUP	Additional Rune
RUNE_SUB_SUB_SELECT_RUNE	Secondary path
RUNE_SUB_SUBTITLE_TEXT	Keyrune
RUNE_TOOLTIP_SAVE	Save
RUNE_WINDOW_TUTORIAL	Rune System Tutorial
GAMEOPTION_ACCE	Shouldersash
MINI_GAME_FISH_START_TEXT	Start
MINI_GAME_FISH_TITLE	Fishpuzzle
BANNER_FISH_BUTTON	Write an Gamemaster!
MINIGAME_FISH_EVENT_USE_COUNT	Trys
MINI_GAME_FISH_HELP_TEXT	Help
SKINSYSTEM_TITLE	Skin system
SHOP_SEARCH_SORT_DATE_ASC	Sales time
XMAS_EVENT_TITLE	Christmas calendar
OFFLINE_SHOP_SALES_HISTORY	Sales history
OFFLINE_SHOP_WITHDRAW_GOLD	Pay out Yang
OFFLINE_SHOP_HISTORY_COLUMN1	Item
OFFLINE_SHOP_HISTORY_COLUMN2	Price
OFFLINE_SHOP_HISTORY_COLUMN3	Buyer
OFFLINE_SHOP_HISTORY_COLUMN4	Date
OFFLINE_SHOP_AVERAGE_PRICE	Average price
OFFLINE_SHOP_SELL_DIALOG_QUESTION	For how much yang[ENTER] do you want to sell your item?
OFFLINE_SHOP_YOU_GET	You get:
OFFLINE_SHOP_SELL_AVERAGE_PRICE	Sell at the average price
OFFLINE_SHOP_CHANGE_APPEARANCE	Changing appearance
OFFLINE_SHOP_TIME_REMAINING	Time left:
SHOP_SEARCH_CAT_ORES	Ores
SYSTEM_PICK_OPTION	Pickup Options
PICKUP_CATEGORY_POTION	Potions
PICKUP_CATEGORY_BOOK	Books
PICKUP_CATEGORY_SIZE_TITLE	Slot sizes
PICKUP_CATEGORY_SIZE_1	1 slot
PICKUP_CATEGORY_SIZE_2	2 slot
PICKUP_CATEGORY_SIZE_3	3 slot
OPTION_HIDE_NPC_TITLE	Hide
OPTION_HIDE_NPC_CAT1	Buffis
OPTION_HIDE_NPC_CAT2	Mounts
OPTION_HIDE_NPC_CAT3	Pets
ZODIAC_CALENDAR	Zodiac Calender
SAVE_WINDOW_POS	Save Window Pos.
NEW_EMOTES	New Emontion
FONT	Font
FONT_DEFAULT	Normal
BDAY_EVENT_DESC_D2	Complete most Dungeons
BDAY_EVENT_DESC_D3	Defeat most Metinstones
BDAY_EVENT_DESC_D4	Consume most Enchant Item
BDAY_EVENT_DESC_D5	Kill most Monsters
BDAY_EVENT_DESC_D6	Complete most Missionbooks
BDAY_EVENT_DESC_D7	Kill players from the other fraction
BDAY_EVENT_REWARD_D1	10% Strong against Bosses
BDAY_EVENT_REWARD_D2	25% lower cooldown on Dungeons
BDAY_EVENT_REWARD_D3	10% Strong against Metinstones
BDAY_EVENT_REWARD_D4	50% lower cooldown on Biologist Missions
BDAY_EVENT_REWARD_D5	10% Strong against Monsters
BDAY_EVENT_REWARD_D6	10% increased upprates
BDAY_EVENT_REWARD_D7	5% Chance to double drop items
OPTION_ONLY_ITEM_TEXTTAIL	Drops
BATTLE_FIELD_MONDAY	MONDAY
BATTLE_FIELD_TUESDAY	TUESDAY
BATTLE_FIELD_WEDNESDAY	WEDNESDAY
BATTLE_FIELD_THURSDAY	THURSDAY
BATTLE_FIELD_FRIDAY	FRIDAY
BATTLE_FIELD_SATURDAY	SATURDAY
BATTLE_FIELD_SUNDAY	SUNDAY
BATTLE_FIELD_EACH_DAY	%s: |cFF14ff48|h%02i:%02i|h|r  - |cFFff1a00|h%02i:%02i|h|r 
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	request Potion
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_INFO	Combatzone
BATTLE_FIELD_OPERATION_ONLINE	The Entry is open.
BATTLE_FIELD_OPERATION_OFFLINE	The Entry is closed.
BATTLE_FILED_RANK	Rank
BATTLE_FILED_RANK_EMPIRE	Empire
BATTLE_FILED_RANK_NAME	Name
BATTLE_FILED_RANK_POINT	Points
ENTER_BATTLE_FIELD	Enter
EXIT_BATTLE_FIELD	Do you really want to leave the Combatzone?
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Current Points: %d
TOTAL_RANKING	Overall Ranking
WEEKLY_RANKING	Weekly Ranking
RESTART_IMMEDIATE	Reincarnation
REQUIRED_AMOUNT	Required amount
DUNGEON_RANKING_WINDOW	Dungeon Rangliste
DAY	Día
SWITCHBOT_DROP	Drag your item here
OPTION_SNOW	Snow
OPTION_SAVE_WHISPERS	Save PM's
OPTION_WHISPER_TIMESTAMP	PM timestamp
CUBE_MAKE_ALL	Craft all
AFFECT_GAME_OPTION	Affect icons
AUCTION_STRICT_SEARCH	Exact search
SKILL_COLOR	Skill color
SAVE	Save
STANDARD	Standard
SKILL_COLOR_CURRENT	Current color:
BLACKJACK_HIT	Hit
BLACKJACK_STAY	Stay
BLACKJACK_DEALER	Dealer
BLACKJACK_YOU	You
BLACKJACK_BET	Bet
BLACKJACK_START_GAME	Start game
OPTION_MESSENGER_NOTIFICATION	Messenger notif.
SHOP_SELL_NOTIFICATION	%sx %s was sold for %s Yang.
SHOP_SELL_NOTIFICATION_TITLE	Sales notification
EQUIPMENT_PAGE_TITLE	Equipment Changer
SAFEBOX_INVENTORY_NORMAL	Normal safebox
OPTION_SELL_NOTIFICATION	Sales notifi.
OPTION_HIDE_NPC_CAT4	Shops
HOTKEY_TITLE_TEXT	Set hotkey
SAFEBOX_INVENTORY_ITEMSHOP	ItemShop safebox
SAFEBOX_INVENTORY_UPP	Upgrade items safebox
SAFEBOX_INVENTORY_SKILL	Books safebox
SAFEBOX_INVENTORY_STONE	Spirit stones safebox
SAFEBOX_INVENTORY_ENCHANT	Enchant bonuses safebox
SAFEBOX_INVENTORY_COSTUME	Costumes safebox
SAFEBOX_INVENTORY_GUILD	Guild safebox
HALLOWEEN_GAME_WIN_TITLE	Halloween reward (Itemshop Storage!)
HALLOWEEN_GAME_WIN_TEXT	You get [ENTER]%s[ENTER]in you'r Itemshop Storage!
