TOOLTIP_ACCE_ATTR_MAX_INFO	(maks. %s)
INPUT_PRIVATE_CODE_DIALOG_TITLE	Karakteri sil
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Dönüş Rolesi
INVENTORY_REALLY_USE_ITEM	Bu eşyayı kullanmak istiyor musun?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Amatör Ninja
JOB_ASSASSIN1	Bıçakçı Ninja
JOB_ASSASSIN2	Okçu Ninja
JOB_SHAMAN	Şaman
JOB_SHAMAN0	Amatör Şaman
JOB_SHAMAN1	Ejderha Gücü Şaman
JOB_SHAMAN2	İyileştirmeci Şaman
JOB_SURA	Sura
JOB_SURA0	Amatör Sura
JOB_SURA1	Büyülü Silah Sura
JOB_SURA2	Kara Büyü Sura
JOB_WARRIOR	Savaşçı
JOB_WARRIOR0	Amatör Savaşçı
JOB_WARRIOR1	Bedensel Savaşçı
JOB_WARRIOR2	Zihinsel Savaşçı
LEFT_TIME	Kalan Süre
LOGIN_CONNECT_FAILURE	Sunucuya bağlanırken hata
LOGIN_CONNECT_SUCCESS	Sunucuya bağlandın.
LOGIN_CONNETING	Sunucuya bağlanıyorsun...
LOGIN_FAILURE_ALREAY	Hesap zaten bağlı.
LOGIN_FAILURE_BE_SAME_KEY	Kayıt problemi
LOGIN_FAILURE_BLOCK_ID	Hesabınız engellendi!
LOGIN_FAILURE_BLOCK_HWID	Bilgisayarınız %s boyunca kilitlendi.
LOGIN_FAILURE_BLOCK_LOGIN	Lütfen başka sunucu seç!
LOGIN_FAILURE_NOBILL	Hesabınızın oyun süresi yok.
LOGIN_FAILURE_NOT_AVAIL	Hesabınız %s için geçici olarak kilitlendi.
LOGIN_FAILURE_NOT_EXIST_ID	Hesap ismi veya şifre yanlış.
LOGIN_FAILURE_REPAIR_ID	Bu hesap için, nesneler yüklendi.
LOGIN_FAILURE_SHUTDOWN	Sunucu henüz açılmadı.
LOGIN_FAILURE_TOO_MANY_USER	Çok fazla kullanıcı bağlı olduğu için bağlanamazsınız.
LOGIN_FAILURE_UNKNOWN	Bilinmeyen bir nedenle kaydolamadınız.
LOGIN_FAILURE_WEB_BLOCK	Web sitesine erişiminiz engellendi. Lütfen E-Postanızı kontrol ediniz.
LOGIN_FAILURE_BRUTEFORCE	Çok fazla başarısız oturum açma girişimi tespit edildi. Bu nedenle, bilgisayarınız herhangi bir oturum açma denemesi için %s geçici olarak kilitlendi.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Yanlış numara girdiniz.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	3 kere yanlış numara girdiniz. Bağlantınız kesildi.
LOGIN_FAILURE_WRONG_PASSWORD	Hesap ismi veya şifre yanlış.
LOGIN_INPUT_ID	ID nizi yazın.
LOGIN_INPUT_PASSWORD	Şifreyi gir.
LOGIN_PROCESSING	Giriş işlemi yapılıyor...
MALL_CANNOT_INSERT	Nesne için yeriniz yok.
MALL_PASSWORD_TITLE	Şifre
MAP_A1	Yongan Bölgesi
MAP_A2	Seungryong Vadisi
MAP_A3	Yayang Bölgesi
MAP_AG	Jungrang
MAP_B1	Joan Bölgesi
MAP_B2	Imji Vadisi
MAP_B3	Bokjung Bölgesi
MAP_BG	Waryong
MAP_C1	Pyungmoo Bölgesi
MAP_C2	Bangsan Vadisi
MAP_C3	Bakra Bölgesi
MAP_CG	Imha
MAP_DESERT	Yongbi Çölü
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Devler Diyarı
MAP_SKELTOWER	Gumsan Kulesi
MAP_SNOW	Sohan Dağı
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Hwang Tapınağı
MAP_TREE	Lungsam
MAP_TRENT02	Kırmızı Orman
MAP_WL	Yılan Vadisi
MESSENGER_ADD_FRIEND	Arkadaş ekle
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s seni arkadaş olarak ekledi.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Kabul et?
MESSENGER_DO_YOU_DELETE	Sil?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Cep telefonu numaranızı silmek istiyor musunuz?
MESSENGER_DO_YOU_MOVE	Devam etmek istiyor musun?
MESSENGER_EMPTY_LIST	Boş
MESSENGER_FAMILY	Aile
MESSENGER_FRIEND	Arkadaşlar
MESSENGER_GUILD	Lonca
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Cep telefonunuza gönderilen onay numarasını giriniz.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Onaylama kodunu gir.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Text mesajlarının gönderilmesi için cep telefonu numaranızı giriniz.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Numarayı şimdi girmek istiyor musun?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Cep telefonu numaranızı giriniz.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Mesaj gönder.
MINIMAP	Küçük Haritayı aç
MINIMAP_CANNOT_SEE	Küçük Haritayi göremezsiniz.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Küçük Harita görüntülenemiyor.
MINIMAP_DEC_SCALE	Uzaklaştır
MINIMAP_INC_SCALE	Yakınlaştır
MINIMAP_OBSERVER_COUNT	%d izleyici
MINIMAP_SHOW_AREAMAP	Genel Görünüm Haritası'nı aç
MINUTE	Dakika
MONETARY_UNIT0	Yang
MONETARY_UNIT1	On Bin
MONETARY_UNIT2	Yüz Milyon
MONETARY_UNIT_GAYA	Gaya
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Özel depo açtığın sürece nesneleri başka yere taşıyamazsın.
MUSIC_EMPTY_MUSIC_LIST	Fon müziği yok.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 Standart Müziği
MUSIC_NOT_SELECT_MUSIC	Hiç Müzik dosyası seçilmedi.
NEEFD_REST	Önce dinlenmelisin.
NOT_YET_SUPPORT	Desteklenmiyor
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Herhangi bir Loncada değilken Lonca Modunu aktif edemezsiniz.
OPTION_PVPMODE_NOT_SUPPORT	PvP Modunda bu biçimi seçemezsiniz.
OPTION_PVPMODE_PROTECT	PvP-Modu'nu değiştirmek için ulaşmış olman gereken asgari seviye: %d.
PARTY_BONUS_ATTACKER	Saldırı Değeri: +%d	SA
PARTY_BONUS_BERSERKER	Saldırı Hızı: +%d	SA
PARTY_BONUS_BUFFER	Beceri Süresi: +%d	SA
PARTY_BONUS_DEFENDER	Savunma: +%d	SA
PARTY_BONUS_EXP	EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Maks. SP: +%d	SA
PARTY_BONUS_TANKER	Maks. HP: +%d	SA
PARTY_BREAK_UP	Grubu Sil
PARTY_DO_YOU_ACCEPT	  grubunuza katılmak istiyor.
PARTY_DO_YOU_JOIN	 seni grubuna davet ediyor. Kabul etmek istiyor musun?
PARTY_EXP_DISTRIBUTION_MODE	EXP Paylaşımı
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Seviyeye Bağlı
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Yüksek seviyeli grup üyeleri daha fazla EXP kazanıyor.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Eşit
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tüm grup üyeleri aynı EXP i alır.
PARTY_HEAL_ALL_MEMBER	Her şeyi yükle.
PARTY_INCREASE_AREA_150	Grup kuruluş faktör aralığı 1,5.	SNA
PARTY_INCREASE_AREA_200	Grup kuruluş faktör aralığı 2.	SNA
PARTY_LEAVE	Grubu terket
PARTY_LONGTIME_BONUS_EXP	Uzun bir grup oyunu için kazanılan EXP: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Çevrimdışı]
PARTY_RECALL_MEMBER	Grup üyesini çağır.
PARTY_REGEN_BONUS	Yeniden oluşum HP- + SP primi: +%d%%	SA
PARTY_REQUEST_DENIED	Başvurun reddedildi.
PARTY_SET_ATTACKER	Saldırı gücü olarak belirle
PARTY_SET_BERSERKER	Öfkeli olarak belirle
PARTY_SET_BUFFER	Tampon olarak belirle.
PARTY_SET_DEFENDER	Savunma gücü olarak belirle.
PARTY_SET_NORMAL	Geri Çekilme Ayarları.
PARTY_SET_SKILL_MASTER	Beceri Master i olarak ayarla.
PARTY_SET_TANKER	Yakın Dövüş Savasçısı olarak belirle.
PARTY_SKILL_ATTACKER	Saldırı gücü olarak temel saldırı değeri +%,0f
PARTY_SKILL_BERSERKER	Öfkeli saldırı hızı +%,0f
PARTY_SKILL_BUFFER	Tampon Beceri Süresi +%,0f
PARTY_SKILL_DEFENDER	Savunmacıların Savunması +%,0f
PARTY_SKILL_HP_REGEN	HP üretimi +%,0f%%
PARTY_SKILL_PARTY_AREA	Grup sırası +%d%%
PARTY_SKILL_SKILL_MASTER	Max. SP Beceri Masterı +%,0f
PARTY_SKILL_SP_REGEN	SP üretimi +%,0f%%
PARTY_SKILL_TANKER	Max. HP Yakın Dövüş Saldırı Gücü +%,0f
PARTY_SKILL_WARP	Grup üyelerini çağırmak mümkün.
PASSWORD_TITLE	Depo Şifresi
PICK_ITEM_TITLE	Eşya Sayısı
PICK_MONEY_TITLE	Toplam
PRIVATE_SHOP_CANNOT_SELL_ITEM	Du kannst diesen Gegenstand nicht in einem privaten Laden verkaufen.
PRIVATE_SHOP_CLOSE_QUESTION	Möchtest du den privaten Laden schließen?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Name des privaten Ladens
OFFLINE_SHOP_INPUT_NAME_DIALOG_TITLE	Çevrimdışı Pazar İsmi
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Fiyat
PVP_NEW_GOOD4	Ritterlich
PVP_NEW_GOOD3	Legende
PVP_NEW_GOOD2	Exzellent
PVP_NEW_GOOD1	Ordnungshüter
PVP_LEVEL0	Kahraman
PVP_LEVEL1	Soylu
PVP_LEVEL2	İyi
PVP_LEVEL3	Arkadaşça
PVP_LEVEL4	Tarafsız
PVP_LEVEL5	Agresif
PVP_LEVEL6	Hilebaz
PVP_LEVEL7	Kötü Niyetli
PVP_LEVEL8	Zalim
PVP_NEW_BAD1	Gewalttätig
PVP_NEW_BAD2	Brutal
PVP_NEW_BAD3	Krank
PVP_NEW_BAD4	Grausam
PVP_MODE_GUILD	PvP - Lonca etkinleştirildi
PVP_MODE_KILL	PvP - Serbest etkinleştirildi
PVP_MODE_NORMAL	PvP - Barış etkinleştirildi.
PVP_MODE_PROTECT	PvP - Koruma etkinleştirildi.
PVP_MODE_REVENGE	PvP - Düşman etkinleştirildi
PVP_OPTION_KILL	Serbest
PVP_OPTION_NORMAL	Barış
PVP_OPTION_PROTECT	Koruma
PVP_OPTION_REVENGE	Düşmanca
QUEST_APPEND	Yeni görev geldi.
QUEST_MIN	Dak.
QUEST_SEC	Sn.
QUEST_TIMEOVER	Zaman doldu.
QUEST_UNLIMITED_TIME	Zaman sınırı yok.
QUEST_ZEROSEC	0 sn.
QUICKSLOT_REGISTER_DISABLE_ITEM	Bu nesne hızlı erişim alanına eklenemez.
RECEIVE_MESSAGE	%s mesaj gönderdi.
REFINE_COST	Yükseltme bedeli: %d Yang
REFINE_DESTROY_WARNING	Eşya yükseltilirken yok olabilir.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Bunlar iyileştirme yapılarak yükseltilecek,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	fakat hata vermesi durumunda nesne yok olabilir. Devam etmek istiyor musunuz?
REFINE_DOWN_GRADE_WARNING	Nesnenin bu yolla değeri düşebilir.
REFINE_DO_YOU_SEPARATE_METIN	Mevcut olan tüm Ruh Taşları çıkarılsın mı?
REFINE_FAILURE	Başaramadın.
REFINE_FAILURE_CAN_NOT_ATTACH0	%s bu eşyaya eklenemez.
REFINE_FAILURE_EQUIP_ITEM	Kullanılmakta olan nesneleri geliştiremezsin.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Çıkarabileceğiniz ruh taşı yok.
REFINE_FAILURE_NEED_BETTER_SCROLL	Daha iyi bir yükseltme Rolesine ihtiyacınız var.
REFINE_FAILURE_NO_GOLD_SOCKET	Burada %s eklemek için altın yuva yok.
REFINE_FAILURE_NO_MORE_SOCKET	Daha fazla slot ekleyemezsin.
REFINE_FAILURE_NO_SOCKET0	%s eklemek için boş slot yok.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Bu nesneye slot ekleyemezsin.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Bu nesne yükseltilemez.
REFINE_SUCCESS	Nesnenin yükseltilmesi başarıyla tamamlandı.
REFINE_SUCCESS_PROBALITY	Yükseltme şansı %d%%
REFINE_WARNING2	Devam etmek istiyor musun?
SAFEBOX_ERROR	Yanlış şifre girdin.
SAFEBOX_SELL_DISABLE_SAFEITEM	Korumalı nesneleri satamazsınız.
SAFEBOX_WRONG_PASSWORD	Şifre aynı olmalı.
SCREENSHOT_SAVE1	Ekran Görüntüsü
SCREENSHOT_SAVE2	Dosyası Kaydedildi
SCREENSHOT_SAVE_FAILURE	Ekran görüntüsü kaydı yapılamadı.
SECOND	sn.
SELECT_CAN_NOT_DELETE	Karakteri silemezsin.
SELECT_CHANGED_NAME	Karakterin adını değiştirdin
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Bu karakter adı kullanılıyor
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Tekrar dene.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Bunu
SELECT_CHANGE_NAME_TITLE	Karakter adını değiştir
SELECT_DELEING	Karakter silinecek.
SELECT_DELETED	Başarıyla silindi.
SELECT_DO_YOU_DELETE_REALLY	Devam etmek istiyor musun?
SELECT_EMPTY_SLOT	Bu boş bir alan.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Yeni karakter adı gir.
SELECT_NOT_JOIN_GUILD	Lonca yok
SHOP_BUY_INFO	Market penceresinden satın almak istediğin nesneyi seç.
SHOP_CANNOT_SELL_EQUIPMENT	Kullanılmakta olan nesneleri satamazsın.
SHOP_CANNOT_SELL_ITEM	Bu eşya satılamaz.
SHOP_ERROR_UNKNOWN	Bilinmeyen market hatası: %s
SHOP_INVALID_POS	Bu eşya burada kullanılamaz.
SHOP_INVENTORY_FULL	Envanterde boş alan yok.
SHOP_NOT_ENOUGH_MONEY	Yeterli Yang ya da takas eşyası yok!
SHOP_NOT_ENOUGH_MONEY_EX	Yeterli Yang ya da takas eşyası yok!
SHOP_SELL_INFO	Envanter penceresinden satmak istediğin nesneyi seç.
SHOP_SOLDOUT	Satıldı
SHOT_ERROR_UNKNOWN	Uzaktan saldırı esnasında belirsiz hata: %s
SKILL_BOHO	Yansıtma
SKILL_BUDONG	Henüz kullanılamaz
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Bu beceriyi öğrenmek için EXP e ihtiyacın var.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Bu beceriyi ögrenmek için bir kitaba ihtiyacın var.
SKILL_CHEONGEUN	Güçlü Beden
SKILL_CRITICAL	Kritik Vuruş
SKILL_ENCHANT_POISON	Zehir Uygulama
SKILL_EUNHYEONG	Kamuflaj
SKILL_FAINT	Sersemletme
SKILL_FIND_TRAP	Tuzak Kurma
SKILL_FIRE	Sürekli Ateş
SKILL_FISHMIND	Balıkçılık Küresi etkin
SKILL_GAMJI	Yakalama
SKILL_GEOMGYEONG	Hava Kılıcı
SKILL_GEONGON	SKILL_GEONGON Henüz kullanılamaz
SKILL_GICHEON	Ejderha Yardımı
SKILL_GIGONG	Chi Dönüşü
SKILL_GONGPO	Dehşet
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Master
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect Master
SKILL_GRADE_NAME_LEGENDARY_MASTER	%s Efsanevi Usta
SKILL_GROUP_ASSASSIN_1	Bıçak
SKILL_GROUP_ASSASSIN_2	Yay
SKILL_GROUP_HORSE	Binicilik
SKILL_GROUP_SHAMAN_1	EjderGücü
SKILL_GROUP_SHAMAN_2	Iyileştirme
SKILL_GROUP_SURA_1	Silah
SKILL_GROUP_SURA_2	Kara Büyü
SKILL_GROUP_WARRIOR_1	Bedensel
SKILL_GROUP_WARRIOR_2	Zihinsel
SKILL_GROUP_WOLFMAN	Beceriler
SKILL_GWIGEOM	Büyülü Silah
SKILL_GYEONGGONG	Hafif Adım
SKILL_HEUKSIN	Karanlık Koruma
SKILL_HOSIN	Kutsama
SKILL_HWAYEOM	SKILL_HWAYEOM Kullanılamaz.
SKILL_HYEOLMA	SKILL_HYEOLMA Kullanılamaz.
SKILL_INC_ATKSPD	Saldırı hızı arttırıldı
SKILL_INC_MOVSPD	Hareket hızı arttırıldı
SKILL_INMA	SKILL_INMA Kullanılamaz.
SKILL_JEOJU	Lanet
SKILL_JEONGEOP	İyileştirme
SKILL_JEONGWI	Öfke
SKILL_JEONSINBANGEO	Maksimum Defans
SKILL_JEONSINGONGGYEOK	Maksimum Saldırı
SKILL_JEUNGCHE	SKILL_JEUNGCHE Kullanılamaz.
SKILL_JEUNGHON	SKILL_JEUNGHON Kullanılamaz.
SKILL_JEUNGRYEOK	Atak +
SKILL_JEUNGSOK	Hız +
SKILL_JIGAM	SKILL_JIGAM Kullanılamaz.
SKILL_JIPJUNG	SKILL_JIPJUNG Kullanılamaz.
SKILL_JUMAGAP	Büyülü Zırh
SKILL_JUMAGEOM	SKILL_JUMAGEOM Kullanılamaz
SKILL_KWAEGEOM	SKILL_KWAEGEOM Kullanılamaz
SKILL_KWAESOK	Hız
SKILL_LEGBOUND	SKILL_LEGBOUND Kullanılamaz
SKILL_MUSA	SKILL_MUSA Kullanılamaz.
SKILL_MUYEONG	Ateş Hayaleti
SKILL_NEED_EMPTY_BOTTLE	Boş şişem yok.
SKILL_NEED_POISON_BOTTLE	Zehir şişem yok.
SKILL_ONLY_FOR_GUILD_WAR	Bu beceriyi sadece Lonca Savaşı sırasında kullanabilirsin.
SKILL_PABEOP	Büyü Çözme
SKILL_POWERFUL_STRIKE	Sersemletici Saldırı
SKILL_SEOMGWANG	Şimşek Bombası
SKILL_SINCHAK	SKILL_SINCHAK Kullanılamaz
SKILL_SLEEP	Uyku
SKILL_SLOW	Yavaş
SKILL_STUN	Sersemletme
SKILL_SUHO	Koruma
SKILL_SUMMON_DESCRIPTION	Çağırma şansı: %d%%
SKILL_TOOLTIP_INT	Zeka
SKILL_TOOLTIP_LEVEL	Seviye
SKILL_TOXICDIE	Zehirleme
SKILL_TOXICPOWER	Zehirleme saldırısı yükseltildi.
SKILL_TUSOK	Hayalet Vuruş
SKILL_WONSIN	Kullanılamaz.
SKILL_YONGSIN	Kullanılamaz.
STAT_MINUS_CON	Canlılık Ayarı (Kalan şans: %d)
STAT_MINUS_DEX	Çeviklik Ayarı (Kalan şans: %d)
STAT_MINUS_INT	Zeka Ayarı (Kalan şans: %d)
STAT_MINUS_STR	Güç Ayarı (Kalan şans: %d)
STAT_TOOLTIP_CON	HP ve Savunma'yı arttırıyor
STAT_TOOLTIP_DEX	Saldırı ve Savuşturma'yı arttıryor
STAT_TOOLTIP_INT	SP, Büyülü Saldırı ve Savunma'yı artırıyor
STAT_TOOLTIP_STR	Saldırı Değeri'ni ve Hasarı arttırıyor
SYMBOLLIST_TITLE	Lonca Bayrağı kaydedildi.
SYSTEM_OPTION_CPU_TILING_1	CPU modu zayıf bilgisayarların daha hızlı çalışmasını sağlar.
SYSTEM_OPTION_CPU_TILING_2	Eğer grafiklerde problem varsa diğer seçeneği işaretleyiniz ,Sistem seçenekleri‘ veya ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	ve GPU modunu seçin.
SYSTEM_OPTION_GPU_TILING_1	GPU Modu zayıf bilgisayarları daha yavaş çalıştırır.
SYSTEM_OPTION_GPU_TILING_2	Grafik ile ilgili sorunlarda, 'Sistem Seçenekleri' veya 'CONFIG.exe'yi seç
SYSTEM_OPTION_GPU_TILING_3	GPU modunu değiştirin.
SYSTEM_OPTION_TILING_EXIT	Tiling-Modu değişimi için oyun yeniden başlatılmalı.
TARGET_BUTTON_ACCEPT_FIGHT	Anlaşma
TARGET_BUTTON_AVENGE	İntikam
TARGET_BUTTON_BUILDING_DESTROY	Yok Et
TARGET_BUTTON_DISMOUNT	Binekten İn
TARGET_BUTTON_EMOTION_ALLOW	Duygular
TARGET_BUTTON_EXCHANGE	Ticaret
TARGET_BUTTON_EXCLUDE	Reddet
TARGET_BUTTON_EXIT_OBSERVER	Gözlemci Modunu Bitir
TARGET_BUTTON_FIGHT	Düello
TARGET_BUTTON_FRIEND	Dost
TARGET_BUTTON_INVITE_GUILD	Lonca Daveti
TARGET_BUTTON_INVITE_PARTY	Grup Daveti
TARGET_BUTTON_LEAVE_PARTY	Grubu Terket
TARGET_BUTTON_REQUEST_ENTER_PARTY	Gruba Katıl
TARGET_BUTTON_VIEW_EQUIPMENT	Ekipman
TARGET_BUTTON_WHISPER	Fısıldama
TARGET_LEVEL_BOSS	Patron
TARGET_LEVEL_KING	5.Seviye
TARGET_LEVEL_KNIGHT	3.Seviye
TARGET_LEVEL_PAWN	1.Seviye
TARGET_LEVEL_S_KNIGHT	4.Seviye
TARGET_LEVEL_S_PAWN	2.Seviye
TASKBAR_ATTACK	Saldırı
TASKBAR_AUTO	Otomatik Saldırı
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Deneyim
TASKBAR_HP	HP
TASKBAR_MOVE	Hareket
TASKBAR_SKILL	Beceri
TASKBAR_SP	SP
TASKBAR_ST	AP
THING_COUNT	hepsi
TOOLTIP_ANTI_SELL	Bu eşya satılamaz.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Hayvanlara Karşı Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Ninjalara Karşı Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Şeytanlara Karşı Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Yarı insanlara Karşı Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Mistiklere Karşı Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Canavarlara Karşı Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Orklara Karşı Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Şamanlara Karşı Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Suralara Karşı Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Ölümsüzlere Karşı Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Savasçılara Karşı Güçlü +%d%%	SA
TOOLTIP_APPLY_BLOCK	Yakın Dövüş Saldırılarını Bloklama Şansı: %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Savaşta Her 5 saniyede bir %d SP Yenile 	SA
TOOLTIP_APPLY_CRITICAL_PCT	Kritik Vuruş Şansı: +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Vuruş Yapıldığında SP Geri Kazanma Şansı	SA
TOOLTIP_APPLY_DODGE	Oklardan Korunma Şansı %d%%	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% EXP Bonus Şansı	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% İki Kat Yang Elde Etme Şansı	SA
TOOLTIP_APPLY_IMMUNE_FALL	Yere Düşme Karşısında Bağışıklılık	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Yavaşlama Karşısında Bağışıklılık	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Sersemlik Karşısında Bağışıklılık	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% İki Kat Eşya Elde Etme Şansı	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	HP Yenileme Şansı +%d%%	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	SP Yenileme Şansı +%d%%	SA
TOOLTIP_APPLY_MANA_BURN_PCT	SP Çalma Şansı: %d%%	SA
TOOLTIP_APPLY_MAX_HP_PCT	Maks. HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Maks. SP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Efekt yok.
TOOLTIP_APPLY_NO_DEATH_PENALTY	Karakter ölüp burada başla dediğinde deneyim kaybetmeyecek.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	Delici Vuruş Şansı: +%d%% 	SA
TOOLTIP_APPLY_POISON_PCT	Zehirleme Şansı: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Zehre Karşı Koyma %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	İksir Etkisi Yükseltme +%d%% 	SA
TOOLTIP_APPLY_REFLECT_CURSE	Lanet Saldırılarını Yansıtma Şansı: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	Yakın Dövüş Saldırılarını Yansıtma Şansı: %d%%	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Ninja Saldırılarına Karşı Savunma Şansı: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Çan Savunması %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Bıçak Savunması %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Yelpaze Savunması %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Şaman Saldırılarına Karşı Savunma Şansı %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Sura Saldırılarına Karşı Savunma Şansı %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Kılıç Savunması %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Çift El Savunması %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Savaşçı Saldırılarına Karşı Savunma Şansı %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Rüzgar Dayanıklılığı %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Kitaptan öğrenme şansı 2,5 arttı.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Öğrenme başarısız olursa, anında bir kere daha deneme şansına sahipsin.	SNA
TOOLTIP_APPLY_SLOW_PCT	Yavaşlatma Şansı: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% Hasar, HP Tarafından Absorbe Edilecek	SA
TOOLTIP_APPLY_STEAL_SP	%d%% Hasar, SP Tarafından Absorbe Edilecek	SA
TOOLTIP_APPLY_STUN_PCT	Sersemletme Şansı: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD_PEN	Kılıç Savunmasının Kırılması %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND_PEN	Çift El Savunmasının Kırılması %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER_PEN	Bıçak Savunmasının Kırılması %d%%	SA
TOOLTIP_APPLY_RESIST_BELL_PEN	Çan Savunmasının Kırılması %d%%	SA
TOOLTIP_APPLY_RESIST_FAN_PEN	Yelpaze Savunmasının Kırılması %d%%	SA
TOOLTIP_APPLY_RESIST_BOW_PEN	Ok Savunmasının Kırılması %d%%	SA
TOOLTIP_APPLY_RESIST_ATTBONUS_HUMAN	Yarı İnsan Dayanıklılığı +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ELEC	Şimşek Gücü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DARK	Karanlık Gücü +%d%%	SA
