ACCE_ABSORB	Bonus Emişi
SHOP_SEARCH_CAT_POTIONS	İksirler
SHOP_SEARCH_CAT_USABLE	Tüketilebilir Ögeler
SHOP_SEARCH_CAT_FISHS	Balıklar
SHOP_SEARCH_CAT_MOUNTS	Binekler
SHOP_SEARCH_CAT_PETS	Evcil Hayvanlar
SHOP_SEARCH_CAT_OWNED	Eşyalarım
LOGIN_SHRINK	Daralt
LOGIN_EXTEND	Genişlet
OPTION_USENIGHT	Gece Modu
OPTION_CAMERA_DISTANCE_HUGE	Extra Uzak
SPLIT_ITEM	Tamamen ayır
PLAYER_SELECT_HAIR_TITLE	Saç Seçimi
EVENT_JOIN_TITLE	Etkinliğe Katıl
EVENT_JOIN_ACCEPT_BUTTON	Işınlan
EVENT_JOIN_DECLINE_BUTTON	Reddet
OPTION_SHOP_TITLE	Pazar İsmi
REFINE_FAST_CHECK	Pencereyi Kapatma
GUILD_MEMBER_MELEY	Meley'in İni'ni Başlat
COMB_TITLE	Kostüm Bonusu Transferi
COMB_APPEARANCE	Kostüm 1
COMB_ATTRIBUTE	Kostüm 2
GAMEOPTION_TITLE_EXTRA	Ekstra Ayar
HIDE_COSTUMES	Kostüm Gizle
GAMEOPTION_HAIR	Saç Stili
SWITCHBOT_TITLE	Efsun Botu
SWITCHBOT_ALREADY_ATTACHED	Bu eşya zaten efsun botuna eklendi.
RENDER_OPT	Optimizasyon
RENDER_OPT_LOW	Düşük
RENDER_OPT_MEDIUM	Orta
RENDER_OPT_HIGH	Yüksek
SWITCHBOT_SLOT_NAME	Slot: %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	Daha fazla eşya ekleyemezsin.
SWITCHBOT_BUTTON_START	Başlat
SWITCHBOT_BUTTON_RESET	Sıfırla
SWITCHBOT_TEMPLATE_TITLE	Şablonlar
SWITCHBOT_SPEED_SLOW	Yavaş
SWITCHBOT_SPEED_MEDIUM	Orta
SWITCHBOT_SPEED_NORMAL	Normal
SWITCHBOT_SPEED_PREMIUM	Premium
SHINING_WINDOW_TITLE	Parlamalar
SWITCHBOT_BUTTON_STOP	Durdur
SWITCHBOT_BUTTON_DELETE	Sil
SWITCHBOT_PREMIUM_INACTIVE	Premium Devre Dışı
SWITCHBOT_SELECT_DEFAULT	--seçin--
SWITCHBOT_SELECT_UNKNOWN	!bilinmeyen!
MESSENGER_ADD_BLOCK	Engelle
SWITCHBOT_START_TIME	Başlangıç Zamanı
SWITCHBOT_TIME_PASSED	Toplam Zaman
SWITCHBOT_SWITCHERS_USED	Kullanılan Efsun Nesnesi
SWITCHBOT_CURRENT_SPEED	Hız
RUNE_MAIN_TITLE	Rünler
RUNE_MAIN_GROUP_TITLE1	İsabet
RUNE_MAIN_GROUP_TITLE_DESC1	Efsane ol
RUNE_MAIN_GROUP_DESC1	Normal saldırılarını güçlendir
RUNE_MAIN_GROUP_TITLE2	Hakimiyet
RUNE_MAIN_GROUP_TITLE_DESC2	Efsane ol
RUNE_MAIN_GROUP_DESC2	Canavarlara karşı olan saldırılarını güçlendir
RUNE_MAIN_GROUP_TITLE3	Büyücülük
RUNE_MAIN_GROUP_TITLE_DESC3	Efsane ol
RUNE_MAIN_GROUP_DESC3	Becerilerini güçlendir
RUNE_MAIN_GROUP_TITLE4	Azim
RUNE_MAIN_GROUP_TITLE_DESC4	Efsane ol
RUNE_MAIN_GROUP_DESC4	Savunmanı güçlendir
RUNE_MAIN_GROUP_TITLE5	İlham
RUNE_MAIN_GROUP_TITLE_DESC5	Efsane ol
RUNE_MAIN_GROUP_DESC5	Arkadaşlarını güçlendir
RUNE_SUB_MAIN_SELECT1	Anahtar Rün Seç
RUNE_SUB_MAIN_SELECT2	Rün Seç
RUNE_SUB_SUB_SELECT_GROUP	İkincil Yol
RUNE_SUB_SUB_SELECT_RUNE_NOGROUP	Eksta Rün
RUNE_SUB_SUB_SELECT_RUNE	İkincil Yok
RUNE_SUB_SUBTITLE_TEXT	Anahtar Rün
RUNE_TOOLTIP_SAVE	Kaydet
RUNE_WINDOW_TUTORIAL	Rün Sistemi Öğreticisi
GAMEOPTION_ACCE	Omuz Kuşağı
MINI_GAME_FISH_START_TEXT	Başlat
MINI_GAME_FISH_TITLE	Balıkçılık Yapbozu
BANNER_FISH_BUTTON	Balıkçılık
MINIGAME_FISH_EVENT_USE_COUNT	Deneme
MINI_GAME_FISH_HELP_TEXT	Yardım
SKINSYSTEM_TITLE	Diğer Kostümler
SHOP_SEARCH_SORT_DATE_ASC	Satış Zamanı
XMAS_EVENT_TITLE	Yılbaşı Takvimi
OFFLINE_SHOP_SALES_HISTORY	Pazar Geçmişi
OFFLINE_SHOP_WITHDRAW_GOLD	Para Çek
OFFLINE_SHOP_HISTORY_COLUMN1	Eşya
OFFLINE_SHOP_HISTORY_COLUMN2	Fiyat
OFFLINE_SHOP_HISTORY_COLUMN3	Alıcı
OFFLINE_SHOP_HISTORY_COLUMN4	Tarih
OFFLINE_SHOP_AVERAGE_PRICE	Ortalama Fiyat:
OFFLINE_SHOP_SELL_DIALOG_QUESTION	Eşyanı ne kadara[ENTER] satmak istiyorsun?
OFFLINE_SHOP_YOU_GET	Alacağın Para:
OFFLINE_SHOP_SELL_AVERAGE_PRICE	Ortalama Fiyata Sat
OFFLINE_SHOP_CHANGE_APPEARANCE	Görünümü Değiştir
OFFLINE_SHOP_TIME_REMAINING	Kalan Zaman:
SHOP_SEARCH_CAT_ORES	Cevher
SYSTEM_PICK_OPTION	Toplama Seçenekleri
PICKUP_CATEGORY_POTION	İksirler
PICKUP_CATEGORY_BOOK	Kitaplar
PICKUP_CATEGORY_SIZE_TITLE	Slot Büyüklükleri
PICKUP_CATEGORY_SIZE_1	1 slot
PICKUP_CATEGORY_SIZE_2	2 slot
PICKUP_CATEGORY_SIZE_3	3 slot
OPTION_HIDE_NPC_TITLE	Gizle
OPTION_HIDE_NPC_CAT1	Buffi
OPTION_HIDE_NPC_CAT2	Binek
OPTION_HIDE_NPC_CAT3	Evcil Hayvan
ZODIAC_CALENDAR	Zodyak Takvimi
SAVE_WINDOW_POS	Pencere Konumunu Kaydet
NEW_EMOTES	Yeni Duygular
FONT	Yazı Tipi
FONT_DEFAULT	Normal
BDAY_EVENT_DESC_D2	En çok zindanı tamamla!
BDAY_EVENT_DESC_D3	En çok metin taşını yok et!
BDAY_EVENT_DESC_D4	En çok Efsun Nesnesi kullan!
BDAY_EVENT_DESC_D5	En çok canavarı öldür!
BDAY_EVENT_DESC_D6	En çok görev kitabını tamamla!
BDAY_EVENT_DESC_D7	Diğer imparatorluklardan oyuncu öldür!
BDAY_EVENT_REWARD_D1	Patronlara Karşı Güç 10% 
BDAY_EVENT_REWARD_D2	Zindanlarda 25% Daha Az Bekleme Süresi
BDAY_EVENT_REWARD_D3	Metin Taşlarına Karşı Güç 10%
BDAY_EVENT_REWARD_D4	Biyolog Görevilerinde 50% Daha Az Bekleme Süresi
BDAY_EVENT_REWARD_D5	Canavarlara Karşı Güç 10%
BDAY_EVENT_REWARD_D6	Yükseltme Şansında 10% Artış
BDAY_EVENT_REWARD_D7	İki Kat Eşya düşürme Şansı 5%
OPTION_ONLY_ITEM_TEXTTAIL	Düşen Eşya
BATTLE_FIELD_MONDAY	PAZARTESİ
BATTLE_FIELD_TUESDAY	SALI
BATTLE_FIELD_WEDNESDAY	ÇARŞAMBA
BATTLE_FIELD_THURSDAY	PERŞEMBE
BATTLE_FIELD_FRIDAY	CUMA
BATTLE_FIELD_SATURDAY	CUMARTESİ
BATTLE_FIELD_SUNDAY	PAZAR
BATTLE_FIELD_EACH_DAY	%s: |cFF14ff48|h%02i:%02i|h|r  - |cFFff1a00|h%02i:%02i|h|r 
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	İksir Talep Et
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_INFO	Savaş Bölgesi
BATTLE_FIELD_OPERATION_ONLINE	Şu anda girişler açık.
BATTLE_FIELD_OPERATION_OFFLINE	Şu anda girişler kapalı.
BATTLE_FILED_RANK	Sıralama
BATTLE_FILED_RANK_EMPIRE	İmparatorluk
BATTLE_FILED_RANK_NAME	İsim
BATTLE_FILED_RANK_POINT	Puan
ENTER_BATTLE_FIELD	Katıl
EXIT_BATTLE_FIELD	Savaş Bölgesinden gerçekten ayrılmak istiyor musun?
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Kazanılan Puan: %d
TOTAL_RANKING	Genel Sıralama
WEEKLY_RANKING	Haftalık Sıralama
RESTART_IMMEDIATE	Reenkarnasyon
REQUIRED_AMOUNT	Gerekli Miktar
DUNGEON_RANKING_WINDOW	Zindan Sıralaması
DAY	Gün
SWITCHBOT_DROP	Eşyayı buraya bırakın!
OPTION_SNOW	Kar
OPTION_SAVE_WHISPERS	PM'leri Kaydet
OPTION_WHISPER_TIMESTAMP	PM Zamanı
CUBE_MAKE_ALL	Hepsini Üret
AFFECT_GAME_OPTION	Durum Simgeleri
AUCTION_STRICT_SEARCH	Birebir Arama
SKILL_COLOR	Beceri Renklendirme
SAVE	Kaydet
STANDARD	Sıfırla
SKILL_COLOR_CURRENT	Geçerli Renk:
BLACKJACK_HIT	Kart İste
BLACKJACK_STAY	Kal
BLACKJACK_DEALER	Krupiye
BLACKJACK_YOU	Sen
BLACKJACK_BET	Bahis
BLACKJACK_START_GAME	Oyuna Başla
OPTION_MESSENGER_NOTIFICATION	Mesajlaşma Bild.
SHOP_SELL_NOTIFICATION	%sx %s eşyası, %s Yang'a satıldı.
SHOP_SELL_NOTIFICATION_TITLE	Eşya Satışı Bildirimi
EQUIPMENT_PAGE_TITLE	Ekipman Değiştirici
SAFEBOX_INVENTORY_NORMAL	Normal Depo
OPTION_SELL_NOTIFICATION	Satış Bildirim
OPTION_HIDE_NPC_CAT4	Pazar
HOTKEY_TITLE_TEXT	Kısayol Ayarla
SAFEBOX_INVENTORY_ITEMSHOP	Nesne Marketi Deposu
SAFEBOX_INVENTORY_UPP	Yükseltme Eşyası Deposu
SAFEBOX_INVENTORY_SKILL	Kitap Deposu
SAFEBOX_INVENTORY_STONE	Taş Deposu
SAFEBOX_INVENTORY_ENCHANT	Efsun Nesnesi Deposu
SAFEBOX_INVENTORY_COSTUME	Kostüm Deposu
SAFEBOX_INVENTORY_GUILD	Lonca Deposu
HALLOWEEN_GAME_WIN_TITLE	Cadılar Bayramı Ödülü (Nesne Marketi Deposu!)
HALLOWEEN_GAME_WIN_TEXT	Ödülün: [ENTER]%s[ENTER] Nesne Marketi depona gönderildi!
