ACCE_ABSORB	«” Ì⁄«» «·⁄·«Ê« 
CHARACTER_ANTI_EXP_INACTIVE	«·Õ’Ê· ⁄·Ï «·Œ»—…: „›⁄·
QUEST_CATEGORIE_1	General
QUEST_CATEGORIE_2	Battlepass
TASKBAR_OPEN_CHAT	Open Chat
DRAGONSOUL_ACTIVATE	 ›⁄Ì·
DRAGONSOUL_REFINE_OPEN	Improve
DRAGONSOUL_PAGE_BUTTON_1	Œ«„
DRAGONSOUL_PAGE_BUTTON_2	„‘ÕÊ–
DRAGONSOUL_PAGE_BUTTON_3	‰«œ—
DRAGONSOUL_PAGE_BUTTON_4	⁄ Ìﬁ
DRAGONSOUL_PAGE_BUTTON_5	√”ÿÊ—Ì
DRAGONSOUL_REFINE_WINDOW_TITLE	‰«›–… «·’ﬁ·
DRAGONSOUL_TAP_TITLE_1	„«”  ‰Ì‰
DRAGONSOUL_TAP_TITLE_2	Ì«ﬁÊ   ‰Ì‰
DRAGONSOUL_TAP_TITLE_3	Ì‘„  ‰Ì‰
DRAGONSOUL_TAP_TITLE_4	Ì«ﬁÊ   ‰Ì‰ √“—ﬁ
DRAGONSOUL_TAP_TITLE_5	⁄ﬁÌﬁ «· ‰Ì‰
DRAGONSOUL_TAP_TITLE_6	Ã“⁄  ‰Ì‰
DRAGONSOUL_TITLE	ﬂÌ„Ì«¡ ÕÃ— «· ‰Ì‰
GRADE_SELECT	ÿ»ﬁ…
STEP_SELECT	œ—Ã… «·’›«¡
STRENGTH_SELECT	„” ÊÏ
DO_REFINE	’ﬁ·
GAYA_SHOP_TITLE	Gaya Store
AUCTION_INFORMER_WINDOW_TITLE	Item sold
AUCTION_WINDOW_TITLE	»ÕÀ «·„ Ã—
AUCTION_PAGE_BUTTON_BUY	»Ì⁄
AUCTION_PAGE_BUTTON_SELL	‘—«¡
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	«”„ «·√œ«¡...
AUCTION_SEARCH_BUTTON_TEXT	»ÕÀ
AUCTION_SEARCH_RESET_BUTTON_TEXT	≈⁄«œ…  ⁄ÌÌ‰
AUCTION_LV_TEXT_1	Level limit
AUCTION_LV_TEXT_2	≈·Ï
AUCTION_PRICE_TEXT_1	Õœ «· ﬂ·›…
AUCTION_PRICE_TEXT_2	≈·Ï
AUCTION_PRICE_OVERLAY_2	-(unlimited)
AUCTION_ONLY_AUCTIONHOUSE_CHECKBOX	Show auction house items only
AUCTION_ONLY_SELF_CHECKBOX	Show only your own items
AUCTION_ORDER_TITLE	ŒÌ«—«  «·›—“
AUCTION_ORDER_BUTTON_NAME	Item Name
AUCTION_ORDER_BUTTON_PRICE	«·”⁄—
AUCTION_ORDER_BUTTON_DATE	Hire Date
AUCTION_SELL_NO_ITEM_TEXT	Drag an item onto this window to select it for sale.
AUCTION_SELL_NO_ITEM_DISABLE_TEXT	The Sell option is currently disabled for the auction house.
AUCTION_SELL_ITEM_PRICE_OVERLAY	«œŒ· «·”⁄—...
AUCTION_SELL_ITEM_BUTTON	ÿﬁ„
AUCTION_SELL_PRICE_TAX_INFO	Items you place in the auction house will be charged 9% tax. The displayed price is the value that the player must pay. The value after you receive shows how much yang you get when you sell.
AUCTION_ITEM_PAGE_BUTTON_LEFT_TOOLTIP	⁄‘—… ’›Õ«  ··Œ·›
AUCTION_ITEM_PAGE_BUTTON_RIGHT_TOOLTIP	Ten pages further
AUCTION_RACE_TEXT	Class
AUCTION_RACE_TEXT_1	„Õ«—»
AUCTION_RACE_TEXT_2	‰Ì‰Ã«
AUCTION_RACE_TEXT_3	”Ê—«
AUCTION_RACE_TEXT_4	‘«„«‰
AUCTION_RACE_TEXT_5	Lykaner
MINI_GAME_RUMI_DISCARD_TEXT	Ê÷⁄ ¬„‰
MINI_GAME_RUMI_EXIT	≈‰Â«¡
MINI_GAME_RUMI_LBUTTON_DESC	√÷› «·Ê—ﬁ… »‰ﬁ— «·“— «·√Ì”— ··›√—…
MINI_GAME_RUMI_RBUTTON_DESC	√»⁄œ «·Ê—ﬁ… »‰ﬁ— «·“— «·√Ì„‰ ··›√—…
MINI_GAME_RUMI_SCORE	‰ﬁ«ÿ
MINI_GAME_RUMI_START_TEXT	«»œ√
MINI_GAME_RUMI_TITLE	Metin2 ·⁄»… Ê—ﬁ Okey
OPTION_ITEM_HIGHLIGHT	New Items
OPTION_ITEM_HIGHLIGHT_ON	⁄·«„…
OPTION_ITEM_HIGHLIGHT_OFF	·«‘Ì¡
OPTION_GOLD_PICKUP	Yang Message
OPTION_GOLD_PICKUP_ON	Active
OPTION_GOLD_PICKUP_OFF	Inactive
WEB_LOADING_TITLE	Ã«—  Õ„Ì· «·„ ’›Õ
WEB_LOADING_DESC	Please have a brief moment of patience
ANTIEXP_TOOLTIP	Anti-EXP
OPTION_DISABLE_PICKUP	Don't pick up
OPTION_DISABLE_PICKUP_ARMOR	Armors
OPTION_DISABLE_PICKUP_WEAPON	«·√”·Õ…
OPTION_DISABLE_PICKUP_ETC	Jewelers
GUILD_DRAGONLAIR_RANKING	·«∆Õ… «·„ ’œ¯—Ì‰
GUILD_DRAGONLAIR_RANKING_COUNT	«·— »…
GUILD_DRAGONLAIR_RANKING_MEMBER	«·√⁄÷«¡
GUILD_DRAGONLAIR_RANKING_NAME	—«»ÿ…
GUILD_DRAGONLAIR_RANKING_TIME	«·Êﬁ 
FAKEBUFF_SKILL_TITLE	Buffi-Skills
ATTRTREE_TITLE_1	„Õ«—»
ATTRTREE_TITLE_2	‰Ì‰Ã«
ATTRTREE_TITLE_3	”Ê—«
ATTRTREE_TITLE_4	‘«„«‰
ATTRTREE_TITLE_5	Special
ATTRTREE_TITLE_6	ÊÕ‘
ATTRTREE_REFINE_TITLE	Improve
ATTRTREE_REFINE_UPGRADE	Improve
ATTRTREE_REFINE_CANCEL	≈·€«¡
SELECT_METIN_DETACH_TITLE	Õ–› «·ÕÃ—
SELECT_METIN_DETACH_INFO	≈Œ «— «·ÕÃ— «· Ì  —Ìœ Õ–›Â«
SELECT_METIN_DETACH_BUTTON	Õ–›
SELECT_ATTR_DETACH_TITLE	Remove bonus
SELECT_ATTR_DETACH_INFO	≈Œ «— «·„„Ì“ «··–Ì  —Ìœ Õ–›Â
SELECT_ATTR_DETACH_BUTTON	Õ–›
QUEST_CATEGORIE_3	Event-Battlepass
QUEST_CATEGORIE_4	Unlimited Battlepass
OFFLINE_SHOP_RENEW_BUTTON	Renew
DO_REFINE_ALL	Refine all
OPTION_QUEST_LETTER	—”«∆· «·„Â„« 
OPTION_QUEST_LETTER_SHOW	≈÷Â«—
OPTION_QUEST_LETTER_HIDE	≈Œ›«¡
OPTION_PICKUP_ALL	«·≈· ﬁ«ÿ
OPTION_PICKUP_FAST	«·ﬂ·
OPTION_PICKUP_SLOW	„›—œ
SHOP_SEARCH_SORT_DESC	 — Ì»
SHOP_SEARCH_SORT_ALPHA_AZ	Alphabetically - A-Z
SHOP_SEARCH_SORT_ALPHA_ZA	√»ÃœÌ« - Ì-√
SHOP_SEARCH_SORT_PRICE_ASC	Single Price Ascending
SHOP_SEARCH_SORT_PRICE_DESC	«·”⁄— «·›—œÌ «· ‰«“·Ì
SHOP_SEARCH_CAT_DESC	«·√ﬁ”«„
SHOP_SEARCH_CAT_ALL	«·ﬂ·
SHOP_SEARCH_CAT_WEAPON	«·√”·Õ…
SHOP_SEARCH_CAT_ARMOR	Armor
SHOP_SEARCH_CAT_JEWELLERY	Jewelry
SHOP_SEARCH_CAT_TALISMAN	 ⁄ÊÌ–…
SHOP_SEARCH_CAT_DRAGONSOUL	Dragon Stone Alchemy
SHOP_SEARCH_CAT_COSTUME	«·“Ì
SHOP_SEARCH_CAT_COSTUME_BONI	Costume Bonus
SHOP_SEARCH_CAT_SKILLS	Skills
SHOP_SEARCH_CAT_POTIONS	Potions
SHOP_SEARCH_CAT_USABLE	»‰Êœ «·≈” Â·«ﬂ
SHOP_SEARCH_CAT_FISHS	”„ﬂ
SHOP_SEARCH_CAT_MOUNTS	Mounts
SHOP_SEARCH_CAT_PETS	—›Ìﬁ
SHOP_SEARCH_CAT_OWNED	√‘Ì«∆Ì
LOGIN_SHRINK	Shrink
LOGIN_EXTEND	Expand
OPTION_USENIGHT	Ê÷⁄ «··Ì·
OPTION_CAMERA_DISTANCE_HUGE	Extra Far
SPLIT_ITEM	›’· ﬂ·Ì
PLAYER_SELECT_HAIR_TITLE	≈Œ Ì«—  ”—ÌÕ… «·‘⁄—
EVENT_JOIN_TITLE	Join Event
EVENT_JOIN_ACCEPT_BUTTON	Teleport
EVENT_JOIN_DECLINE_BUTTON	Decline
OPTION_SHOP_TITLE	≈”„ «·„ Ã—
REFINE_FAST_CHECK	Don't close the window
GUILD_MEMBER_MELEY	»œ¡ ﬂÂ› «·„Ì·Ì
COMB_TITLE	Costume bonus transfer
COMB_APPEARANCE	«·„ ·ﬁÌ
COMB_ATTRIBUTE	«·√’·Ì
GAMEOPTION_TITLE_EXTRA	Extra Option
HIDE_COSTUMES	Hide Costume
GAMEOPTION_HAIR	Hairstyle
SWITCHBOT_TITLE	Switch Bot
SWITCHBOT_ALREADY_ATTACHED	This Item was already added to the switch bot.
RENDER_OPT	«” „À«·
RENDER_OPT_LOW	„‰Œ›Ÿ
RENDER_OPT_MEDIUM	„ Ê”ÿ
RENDER_OPT_HIGH	⁄«·Ì
SWITCHBOT_SLOT_NAME	› Õ… %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	You cannot add another item.
SWITCHBOT_BUTTON_START	Start
SWITCHBOT_BUTTON_RESET	Reset
SWITCHBOT_TEMPLATE_TITLE	ﬁÊ«·»
SWITCHBOT_SPEED_SLOW	Slow
SWITCHBOT_SPEED_MEDIUM	„ Ê”ÿ
SWITCHBOT_SPEED_NORMAL	⁄«œÌ
SWITCHBOT_SPEED_PREMIUM	Premium
SHINING_WINDOW_TITLE	·«„⁄
SWITCHBOT_BUTTON_STOP	Stop
SWITCHBOT_BUTTON_DELETE	Delete
SWITCHBOT_PREMIUM_INACTIVE	Premium inactiv
SWITCHBOT_SELECT_DEFAULT	-- choose -- 
SWITCHBOT_SELECT_UNKNOWN	!€Ì— „⁄·Ê„!
MESSENGER_ADD_BLOCK	Block
SWITCHBOT_START_TIME	≈»œ√
SWITCHBOT_TIME_PASSED	«·„œ… «·“„‰Ì… «·ﬂ«„·…
SWITCHBOT_SWITCHERS_USED	«·„€Ì—«  «·„‰›ﬁ…
SWITCHBOT_CURRENT_SPEED	Speed
RUNE_MAIN_TITLE	«·√»ÃœÌ… «·—Ê‰Ì…
RUNE_MAIN_GROUP_TITLE1	Precision
RUNE_MAIN_GROUP_TITLE_DESC1	ﬂ‰ √”ÿÊ—…
RUNE_MAIN_GROUP_DESC1	ﬁÊ¯Ì ÂÃ„« ﬂ «·⁄«œÌ…
RUNE_MAIN_GROUP_TITLE2	Dominance
RUNE_MAIN_GROUP_TITLE_DESC2	ﬂ‰ √”ÿÊ—…
RUNE_MAIN_GROUP_DESC2	ﬁÊ¯Ì ÂÃ„« ﬂ ÷œ «·ÊÕÊ‘
RUNE_MAIN_GROUP_TITLE3	”Õ—
RUNE_MAIN_GROUP_TITLE_DESC3	ﬂ‰ √”ÿÊ—…
RUNE_MAIN_GROUP_DESC3	ﬁÊ¯Ì „Â«—« ﬂ
RUNE_MAIN_GROUP_TITLE4	Determination
RUNE_MAIN_GROUP_TITLE_DESC4	ﬂ‰ √”ÿÊ—…
RUNE_MAIN_GROUP_DESC4	ﬁÊ¯Ì œ›«⁄ﬂ
RUNE_MAIN_GROUP_TITLE5	Inspiration
RUNE_MAIN_GROUP_TITLE_DESC5	ﬂ‰ √”ÿÊ—…
RUNE_MAIN_GROUP_DESC5	ﬁÊ¯Ì √’œﬁ«∆ﬂ
RUNE_SUB_MAIN_SELECT1	≈Œ «— —Ê‰ „› «ÕÌ…
RUNE_SUB_MAIN_SELECT2	≈Œ Ì«— «·—Ê‰ 
RUNE_SUB_SUB_SELECT_GROUP	Secondary path
RUNE_SUB_SUB_SELECT_RUNE_NOGROUP	—Ê‰ ≈÷«›Ì…
RUNE_SUB_SUB_SELECT_RUNE	Secondary path
RUNE_SUB_SUBTITLE_TEXT	Keyrune
RUNE_TOOLTIP_SAVE	Save
RUNE_WINDOW_TUTORIAL	œÊ—…  ⁄·Ì„Ì… ·‰Ÿ«„ «·—Ê‰
GAMEOPTION_ACCE	Shouldersash
MINI_GAME_FISH_START_TEXT	«»œ√
MINI_GAME_FISH_TITLE	·€“ «·’Ìœ
BANNER_FISH_BUTTON	·€“ «·’Ìœ
MINIGAME_FISH_EVENT_USE_COUNT	⁄œœ
MINI_GAME_FISH_HELP_TEXT	„”«⁄œ…
SKINSYSTEM_TITLE	‰Ÿ«„ «·√“Ì«¡
SHOP_SEARCH_SORT_DATE_ASC	Êﬁ  «· Œ›Ì÷« 
XMAS_EVENT_TITLE	Christmas calendar
OFFLINE_SHOP_SALES_HISTORY	Sales history
OFFLINE_SHOP_WITHDRAW_GOLD	«”
OFFLINE_SHOP_HISTORY_COLUMN1	Item
OFFLINE_SHOP_HISTORY_COLUMN2	«·”⁄—
OFFLINE_SHOP_HISTORY_COLUMN3	Buyer
OFFLINE_SHOP_HISTORY_COLUMN4	 «—ÌŒ
OFFLINE_SHOP_AVERAGE_PRICE	Average price
OFFLINE_SHOP_SELL_DIALOG_QUESTION	For how much yang[ENTER] do you want to sell your item?
OFFLINE_SHOP_YOU_GET	You get:
OFFLINE_SHOP_SELL_AVERAGE_PRICE	Sell at the average price
OFFLINE_SHOP_CHANGE_APPEARANCE	Changing appearance
OFFLINE_SHOP_TIME_REMAINING	Time left:
SHOP_SEARCH_CAT_ORES	Œ«„« 
SYSTEM_PICK_OPTION	≈⁄œ«œ«  «·≈· ﬁ«ÿ
PICKUP_CATEGORY_POTION	Ã—⁄
PICKUP_CATEGORY_BOOK	ﬂ »
PICKUP_CATEGORY_SIZE_TITLE	⁄œœ «·Œ«‰« 
PICKUP_CATEGORY_SIZE_1	1 › Õ…
PICKUP_CATEGORY_SIZE_2	2 › Õ« 
PICKUP_CATEGORY_SIZE_3	3 slot
OPTION_HIDE_NPC_TITLE	≈Œ›«¡
OPTION_HIDE_NPC_CAT1	Buffis
OPTION_HIDE_NPC_CAT2	Mounts
OPTION_HIDE_NPC_CAT3	Pets
ZODIAC_CALENDAR	 ﬁÊÌ„ «·“œÌ«ﬂ
SAVE_WINDOW_POS	Õ›Ÿ Ê÷⁄Ì… «·‘«‘…
NEW_EMOTES	New Emontion
FONT	Font
FONT_DEFAULT	⁄«œÌ
BDAY_EVENT_DESC_D2	«‰Â«¡ «ﬂ»— ⁄œœ „‰ «·«»—«Ã
BDAY_EVENT_DESC_D3	 œ„Ì— «ﬂ»— ⁄œœ „‰ «ÕÃ«— «·„« Ì‰
BDAY_EVENT_DESC_D4	«” Â·«ﬂ «ﬂ»— ⁄œœ „‰ ”Õ— «·‘Ì¡
BDAY_EVENT_DESC_D5	«ﬁ · «ﬂ»— ⁄œœ „‰ «·ÊÕÊ‘
BDAY_EVENT_DESC_D6	«‰Â«¡ «ﬂ»— ⁄œœ „‰ ﬂ » «·„Â«„
BDAY_EVENT_DESC_D7	«ﬁ · «ﬂ»— ⁄œœ „‰ ·«⁄»Ì‰ „‰ ≈„»—«ÿÊ—Ì«  «Œ—Ï
BDAY_EVENT_REWARD_D1	10%ﬁÊÌ ÷œ «·“⁄„«¡
BDAY_EVENT_REWARD_D2	25% Êﬁ  «ﬁ · ⁄·Ï «·«»—«Ã
BDAY_EVENT_REWARD_D3	10% ﬁÊÌ ÷œ «ÕÃ«— «·„« Ì‰
BDAY_EVENT_REWARD_D4	50% Êﬁ  «ﬁ· ⁄·Ï „Â„«  «·»Ì·ÊÃÌ
BDAY_EVENT_REWARD_D5	ﬁÊÌ ÷œ ÊÕÊ‘ 10%
BDAY_EVENT_REWARD_D6	10% increased upprates
BDAY_EVENT_REWARD_D7	5 
