ACCE_ABSORB	Absorção de Bónus
COMB_ATTRIBUTE	Disfarce 2
GAMEOPTION_TITLE_EXTRA	Opção Extra
HIDE_COSTUMES	Esconder Traje
GAMEOPTION_HAIR	Penteado
SWITCHBOT_TITLE	Bot de Rodar
SWITCHBOT_ALREADY_ATTACHED	O item já foi adicionado ao Bot de Rodar.
RENDER_OPT	Otimização
RENDER_OPT_LOW	Baixa
RENDER_OPT_MEDIUM	Média
RENDER_OPT_HIGH	Alta
SWITCHBOT_SLOT_NAME	Slot %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	Não podes adicionar outro item.
SWITCHBOT_BUTTON_START	Começar
SWITCHBOT_BUTTON_RESET	Resetar
SWITCHBOT_TEMPLATE_TITLE	Modelos
SWITCHBOT_SPEED_SLOW	Devagar
SWITCHBOT_SPEED_MEDIUM	Médio
SWITCHBOT_SPEED_NORMAL	Normal
SWITCHBOT_SPEED_PREMIUM	Premium
SHINING_WINDOW_TITLE	Brilho
SWITCHBOT_BUTTON_STOP	Parar
SWITCHBOT_BUTTON_DELETE	Apagar
SWITCHBOT_PREMIUM_INACTIVE	Prêmio desativado
SWITCHBOT_SELECT_DEFAULT	-- Escolher --
SWITCHBOT_SELECT_UNKNOWN	!desconhecido!
MESSENGER_ADD_BLOCK	Block
SWITCHBOT_START_TIME	Começar
SWITCHBOT_TIME_PASSED	Duração total
SWITCHBOT_SWITCHERS_USED	Feitiços usados
SWITCHBOT_CURRENT_SPEED	Velocidade
RUNE_MAIN_TITLE	Runas
RUNE_MAIN_GROUP_TITLE1	Precisão
RUNE_MAIN_GROUP_TITLE_DESC1	Torna-te uma lenda
RUNE_MAIN_GROUP_DESC1	Fortalece os teus ataques normais
RUNE_MAIN_GROUP_TITLE2	Dominance
RUNE_MAIN_GROUP_TITLE_DESC2	Torna-te uma lenda
RUNE_MAIN_GROUP_DESC2	Fortalece os teus ataques contra Monstros
RUNE_MAIN_GROUP_TITLE3	Magia
RUNE_MAIN_GROUP_TITLE_DESC3	Torna-te uma lenda
RUNE_MAIN_GROUP_DESC3	Fortalece as tuas Habilidades
RUNE_MAIN_GROUP_TITLE4	Determinação
RUNE_MAIN_GROUP_TITLE_DESC4	Torna-te uma lenda
RUNE_MAIN_GROUP_DESC4	Fortalece a tua Defesa
RUNE_MAIN_GROUP_TITLE5	Inspiração
RUNE_MAIN_GROUP_TITLE_DESC5	Torna-te uma lenda
RUNE_MAIN_GROUP_DESC5	Fortalece os teus amigos
RUNE_SUB_MAIN_SELECT1	Seleciona a Runa chave
RUNE_SUB_MAIN_SELECT2	Seleciona a runa
RUNE_SUB_SUB_SELECT_GROUP	Caminho secundário
RUNE_SUB_SUB_SELECT_RUNE_NOGROUP	Runa adicional
RUNE_SUB_SUB_SELECT_RUNE	Caminho secundário
RUNE_SUB_SUBTITLE_TEXT	Runa chave
RUNE_TOOLTIP_SAVE	Guardar
RUNE_WINDOW_TUTORIAL	Tutorial do Sistema de Runas
GAMEOPTION_ACCE	Faixa de Ombro
MINI_GAME_FISH_START_TEXT	Começar
MINI_GAME_FISH_TITLE	Enigma de peixe
BANNER_FISH_BUTTON	Escreve a um GM!
MINIGAME_FISH_EVENT_USE_COUNT	Tentativas
MINI_GAME_FISH_HELP_TEXT	Ajuda
SKINSYSTEM_TITLE	Sistema de traje
SHOP_SEARCH_SORT_DATE_ASC	Tempo de vendas
XMAS_EVENT_TITLE	Calendário Natal
OFFLINE_SHOP_SALES_HISTORY	Historico de Vendas
OFFLINE_SHOP_WITHDRAW_GOLD	Retirar yang
OFFLINE_SHOP_HISTORY_COLUMN1	Item
OFFLINE_SHOP_HISTORY_COLUMN2	Preço
OFFLINE_SHOP_HISTORY_COLUMN3	Comprador
OFFLINE_SHOP_HISTORY_COLUMN4	Data
OFFLINE_SHOP_AVERAGE_PRICE	Preço médio
OFFLINE_SHOP_SELL_DIALOG_QUESTION	Por quanto yang [ENTER] quer vender este item?
OFFLINE_SHOP_YOU_GET	Tu Recebes:
OFFLINE_SHOP_SELL_AVERAGE_PRICE	Vender a 
OFFLINE_SHOP_CHANGE_APPEARANCE	Mudando a aparência
OFFLINE_SHOP_TIME_REMAINING	Tempo restante:
SHOP_SEARCH_CAT_ORES	Gemas
SYSTEM_PICK_OPTION	Opções do Pickup
PICKUP_CATEGORY_POTION	Poções
PICKUP_CATEGORY_BOOK	Livros
PICKUP_CATEGORY_SIZE_TITLE	Slot sizes
PICKUP_CATEGORY_SIZE_1	1 slot
PICKUP_CATEGORY_SIZE_2	2 slot
PICKUP_CATEGORY_SIZE_3	3 slot
OPTION_HIDE_NPC_TITLE	Esconder
OPTION_HIDE_NPC_CAT1	Buffi's
OPTION_HIDE_NPC_CAT2	Montadas
OPTION_HIDE_NPC_CAT3	Pet's
ZODIAC_CALENDAR	Calendario Zodíaco
SAVE_WINDOW_POS	Gravar Pos. Janela
NEW_EMOTES	Nova 
FONT	Fonte
FONT_DEFAULT	Normal
BDAY_EVENT_DESC_D2	Completa mais Masmorras
BDAY_EVENT_DESC_D3	Derrota a maioria das Metins
BDAY_EVENT_DESC_D4	Consome a maioria dos Feitiço para Itens
BDAY_EVENT_DESC_D5	Mata a maioria dos Monstros
BDAY_EVENT_DESC_D6	Complete most Missionbooks
BDAY_EVENT_DESC_D7	Kill players from the other fraction
BDAY_EVENT_REWARD_D1	10% Forte contra Bosses
BDAY_EVENT_REWARD_D2	Reduz 25% o tempo de recarga das Masmorras
BDAY_EVENT_REWARD_D3	Forte contra Metins 10%
BDAY_EVENT_REWARD_D4	Reduz 50% o tempo de recarga das missões do Biólogo
BDAY_EVENT_REWARD_D5	Forte contra Monstros 10%
BDAY_EVENT_REWARD_D6	Chance de melhoramento aumentado 10%
BDAY_EVENT_REWARD_D7	5% Chance de receber Yang a dobrar
OPTION_ONLY_ITEM_TEXTTAIL	Drops
BATTLE_FIELD_MONDAY	Segunda feira
BATTLE_FIELD_TUESDAY	Terça feira
BATTLE_FIELD_WEDNESDAY	Quarta feira
BATTLE_FIELD_THURSDAY	Quinta feira
BATTLE_FIELD_FRIDAY	Sexta feira
BATTLE_FIELD_SATURDAY	Sábado
BATTLE_FIELD_SUNDAY	Domingo
BATTLE_FIELD_EACH_DAY	%s: |cFF14ff48|h%02i:%02i|h|r - |cFFff1a00|h%02i:%02i|h|r
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	Pedir Poção
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_INFO	Zona de combate
BATTLE_FIELD_OPERATION_ONLINE	A entrada está aberta.
BATTLE_FIELD_OPERATION_OFFLINE	A Entrada está fechada.
BATTLE_FILED_RANK	Classificação
BATTLE_FILED_RANK_EMPIRE	Reino
BATTLE_FILED_RANK_NAME	Nome
BATTLE_FILED_RANK_POINT	Pontos
ENTER_BATTLE_FIELD	Entrar
EXIT_BATTLE_FIELD	Quer mesmo sair da zona de combate?
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Pontos atuais: %d
TOTAL_RANKING	Classificação Geral
WEEKLY_RANKING	Ranking semanal
RESTART_IMMEDIATE	Reincarnação
REQUIRED_AMOUNT	Quantidade necessária
DUNGEON_RANKING_WINDOW	Dungeon Rangliste
DAY	Dia
SWITCHBOT_DROP	Arrasta o teu item para aqui
OPTION_SNOW	Neve
OPTION_SAVE_WHISPERS	Guardar PM's
OPTION_WHISPER_TIMESTAMP	Timestamp do PM
CUBE_MAKE_ALL	Craftar tudo
AFFECT_GAME_OPTION	Affect icons
AUCTION_STRICT_SEARCH	Pesquisa exata
SKILL_COLOR	Cor de habilidade
SAVE	Guardar
STANDARD	Standard
SKILL_COLOR_CURRENT	Cor atual:
BLACKJACK_HIT	Hit
BLACKJACK_STAY	Ficar
BLACKJACK_DEALER	Dealer
BLACKJACK_YOU	You
BLACKJACK_BET	Aposta
BLACKJACK_START_GAME	Começar jogo
OPTION_MESSENGER_NOTIFICATION	Messenger notif.
SHOP_SELL_NOTIFICATION	%sx%s foi vendido por %s Yang.
SHOP_SELL_NOTIFICATION_TITLE	Notificação de vendas
EQUIPMENT_PAGE_TITLE	Troca de equipamentos
SAFEBOX_INVENTORY_NORMAL	Armazém normal
OPTION_SELL_NOTIFICATION	Notif. vendas
OPTION_HIDE_NPC_CAT4	Lojas
HOTKEY_TITLE_TEXT	Gravar tecla de atalho
SAFEBOX_INVENTORY_ITEMSHOP	Armazém da Loja de Itens
SAFEBOX_INVENTORY_UPP	Armazém de melhoramento de items
SAFEBOX_INVENTORY_SKILL	Armazém de livros
SAFEBOX_INVENTORY_STONE	Armazém das pedras espíritas
SAFEBOX_INVENTORY_ENCHANT	Armazém de feitiços
SAFEBOX_INVENTORY_COSTUME	Armazém de trajes
SAFEBOX_INVENTORY_GUILD	Armazém de Guild
HALLOWEEN_GAME_WIN_TITLE	Halloween reward (Itemshop Storage!)
HALLOWEEN_GAME_WIN_TEXT	You get [ENTER]%s[ENTER]in you'r Itemshop Storage!
