ACCE_ABSORB	Bonus de Absorbtie
COMB_ATTRIBUTE	Costum 2
GAMEOPTION_TITLE_EXTRA	Optiuni extra
HIDE_COSTUMES	Ascunde costumele
GAMEOPTION_HAIR	Frizura
SWITCHBOT_TITLE	Switch Bot
SWITCHBOT_ALREADY_ATTACHED	Acest item a fost deja adaugat in switch bot.
RENDER_OPT	Optimizare
RENDER_OPT_LOW	Scazut
RENDER_OPT_MEDIUM	Mediu
RENDER_OPT_HIGH	Ridicat
SWITCHBOT_SLOT_NAME	Slot %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	Nu poti adauga mai multe iteme.
SWITCHBOT_BUTTON_START	Start
SWITCHBOT_BUTTON_RESET	Reset
SWITCHBOT_TEMPLATE_TITLE	Template
SWITCHBOT_SPEED_SLOW	Incet
SWITCHBOT_SPEED_MEDIUM	Meduim
SWITCHBOT_SPEED_NORMAL	Normal
SWITCHBOT_SPEED_PREMIUM	Premium
SHINING_WINDOW_TITLE	Stralucitor
SWITCHBOT_BUTTON_STOP	Stop
SWITCHBOT_BUTTON_DELETE	Sterge
SWITCHBOT_PREMIUM_INACTIVE	Premium inactiv
SWITCHBOT_SELECT_DEFAULT	--alege--
SWITCHBOT_SELECT_UNKNOWN	!necunoscut!
MESSENGER_ADD_BLOCK	Block
SWITCHBOT_START_TIME	Start 
SWITCHBOT_TIME_PASSED	Durata totala
SWITCHBOT_SWITCHERS_USED	Schimbatoare folosite
SWITCHBOT_CURRENT_SPEED	Viteza
RUNE_MAIN_TITLE	Rune
RUNE_MAIN_GROUP_TITLE1	Precizie
RUNE_MAIN_GROUP_TITLE_DESC1	Devino Legenda
RUNE_MAIN_GROUP_DESC1	Intareste-ti atacurile normale
RUNE_MAIN_GROUP_TITLE2	Dominare
RUNE_MAIN_GROUP_TITLE_DESC2	Devino Legenda
RUNE_MAIN_GROUP_DESC2	Intareste-ti atacurile impotriva monstrilor
RUNE_MAIN_GROUP_TITLE3	Magie
RUNE_MAIN_GROUP_TITLE_DESC3	Devino Legenda
RUNE_MAIN_GROUP_DESC3	Intareste-ti Abilitatile
RUNE_MAIN_GROUP_TITLE4	Determinare
RUNE_MAIN_GROUP_TITLE_DESC4	Devino Legenda
RUNE_MAIN_GROUP_DESC4	Intareste-ti Apararea
RUNE_MAIN_GROUP_TITLE5	Inspiratie
RUNE_MAIN_GROUP_TITLE_DESC5	Devino Legenda
RUNE_MAIN_GROUP_DESC5	Intareste-ti Prietenii
RUNE_SUB_MAIN_SELECT1	Selecteaza Cheie Rune
RUNE_SUB_MAIN_SELECT2	Selecteaza Rune
RUNE_SUB_SUB_SELECT_GROUP	Cale secundara
RUNE_SUB_SUB_SELECT_RUNE_NOGROUP	Rune Aditionale
RUNE_SUB_SUB_SELECT_RUNE	Cale secundara
RUNE_SUB_SUBTITLE_TEXT	Cheie Rune
RUNE_TOOLTIP_SAVE	Salveaza
RUNE_WINDOW_TUTORIAL	Tutorial Sistem Rune
GAMEOPTION_ACCE	Esarfa
MINI_GAME_FISH_START_TEXT	Start
MINI_GAME_FISH_TITLE	Puzzle Peste
BANNER_FISH_BUTTON	Scrie unui Gamemaster!
MINIGAME_FISH_EVENT_USE_COUNT	Incearca
MINI_GAME_FISH_HELP_TEXT	Ajutor
SKINSYSTEM_TITLE	Skin sistem
SHOP_SEARCH_SORT_DATE_ASC	Timp de Vanzare
XMAS_EVENT_TITLE	Calendar de Craciun
OFFLINE_SHOP_SALES_HISTORY	Istoric Vanzari
OFFLINE_SHOP_WITHDRAW_GOLD	Scoate Yang
OFFLINE_SHOP_HISTORY_COLUMN1	Item
OFFLINE_SHOP_HISTORY_COLUMN2	Pret
OFFLINE_SHOP_HISTORY_COLUMN3	Cumparator
OFFLINE_SHOP_HISTORY_COLUMN4	Data
OFFLINE_SHOP_AVERAGE_PRICE	Pret estimativ
OFFLINE_SHOP_SELL_DIALOG_QUESTION	Pentru cat Yang[ENTER] doresti sa vinzi itemul?
OFFLINE_SHOP_YOU_GET	Primesti:
OFFLINE_SHOP_SELL_AVERAGE_PRICE	Vinde la pretul estimativ
OFFLINE_SHOP_CHANGE_APPEARANCE	Schimba aparenta
OFFLINE_SHOP_TIME_REMAINING	Timp ramas:
SHOP_SEARCH_CAT_ORES	Minereuri
SYSTEM_PICK_OPTION	Optiuni de colectare
PICKUP_CATEGORY_POTION	Potiuni
PICKUP_CATEGORY_BOOK	Carti
PICKUP_CATEGORY_SIZE_TITLE	Marimea slot-uri
PICKUP_CATEGORY_SIZE_1	1 slot
PICKUP_CATEGORY_SIZE_2	2 slot-uri
PICKUP_CATEGORY_SIZE_3	3 slot-uri
OPTION_HIDE_NPC_TITLE	Ascunde
OPTION_HIDE_NPC_CAT1	Buffi
OPTION_HIDE_NPC_CAT2	Mounti
OPTION_HIDE_NPC_CAT3	Insotitori
ZODIAC_CALENDAR	Calendar Zodiac
SAVE_WINDOW_POS	Salveaza pozitia ferestrei
NEW_EMOTES	Emoticon nou
FONT	Font
FONT_DEFAULT	Normal
BDAY_EVENT_DESC_D2	Termina majoritatea temnitelor
BDAY_EVENT_DESC_D3	Distruge majoritatea pietrelor metin
BDAY_EVENT_DESC_D4	Foloseste majoritatea Vrajeste Obiectul
BDAY_EVENT_DESC_D5	Omoara majoritatea monstriilor
BDAY_EVENT_DESC_D6	Finalizeaza majoritatea cartilor misiuni.
BDAY_EVENT_DESC_D7	Omoara jucatori din fractiunea inamica.
BDAY_EVENT_REWARD_D1	10% Tare impotriva sefilor.
BDAY_EVENT_REWARD_D2	25% Cooldown scazut la intrarea in temnite.
BDAY_EVENT_REWARD_D3	10% Tare impotriva metinelor
BDAY_EVENT_REWARD_D4	5% Cooldown scazut la misiunile de la Biologist.
BDAY_EVENT_REWARD_D5	10% Tare impotriva monstrilor
BDAY_EVENT_REWARD_D6	10% Sansa de upgrade.
BDAY_EVENT_REWARD_D7	5% Sansa de drop dublu iteme.
OPTION_ONLY_ITEM_TEXTTAIL	Drop
BATTLE_FIELD_MONDAY	Luni
BATTLE_FIELD_TUESDAY	Marti
BATTLE_FIELD_WEDNESDAY	Miercuri
BATTLE_FIELD_THURSDAY	Joi
BATTLE_FIELD_FRIDAY	Vineri
BATTLE_FIELD_SATURDAY	Sambata
BATTLE_FIELD_SUNDAY	Duminica
BATTLE_FIELD_EACH_DAY	%s: |cFF14ff48|h%02i:%02i|h|r  - |cFFff1a00|h%02i:%02i|h|r 
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	Cere potiune
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_INFO	Zona de combat
BATTLE_FIELD_OPERATION_ONLINE	Intrarea este deschisa.
BATTLE_FIELD_OPERATION_OFFLINE	Intrarea este inchisa.
BATTLE_FILED_RANK	Rank
BATTLE_FILED_RANK_EMPIRE	Regat
BATTLE_FILED_RANK_NAME	Nume
BATTLE_FILED_RANK_POINT	Puncte
ENTER_BATTLE_FIELD	Intra
EXIT_BATTLE_FIELD	Esti sigur ca vrei sa parasesti Zona de combat?
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Punctele actuale: %d
TOTAL_RANKING	Clasamentul General
WEEKLY_RANKING	Clasamentul Saptamanal
RESTART_IMMEDIATE	Reincarnare
REQUIRED_AMOUNT	Suma necesara
DUNGEON_RANKING_WINDOW	Dungeon Rangliste
DAY	Zi
SWITCHBOT_DROP	Trage item-ul aici
OPTION_SNOW	Zapada
OPTION_SAVE_WHISPERS	Salveaza PM-urile
OPTION_WHISPER_TIMESTAMP	Timestamp PM
CUBE_MAKE_ALL	Crafteaza tot
AFFECT_GAME_OPTION	Afecteaza Icoanele
AUCTION_STRICT_SEARCH	Cautare exacta
SKILL_COLOR	Culoarea skill-ului
SAVE	Salveaza
STANDARD	Standard
SKILL_COLOR_CURRENT	Culoarea actuala:
BLACKJACK_HIT	Trage
BLACKJACK_STAY	Stai
BLACKJACK_DEALER	Dealer
BLACKJACK_YOU	Tu
BLACKJACK_BET	Pariaza
BLACKJACK_START_GAME	Incepe jocul
OPTION_MESSENGER_NOTIFICATION	Notificare mesaje
SHOP_SELL_NOTIFICATION	%sx %s a fost vandut pentru %s Yang
SHOP_SELL_NOTIFICATION_TITLE	Notificare in legatura cu vanzarile.
EQUIPMENT_PAGE_TITLE	Schimbare Echipament
SAFEBOX_INVENTORY_NORMAL	Depozit
OPTION_SELL_NOTIFICATION	Notificare in legatura cu vanzarile
OPTION_HIDE_NPC_CAT4	Magazine
HOTKEY_TITLE_TEXT	Seteaza Hotkey
SAFEBOX_INVENTORY_ITEMSHOP	Depozit ItemShop
SAFEBOX_INVENTORY_UPP	Depozit upgradeuri
SAFEBOX_INVENTORY_SKILL	Depozitul de carti
SAFEBOX_INVENTORY_STONE	Depozitul de pietre
SAFEBOX_INVENTORY_ENCHANT	Depozitul bonusurilor
SAFEBOX_INVENTORY_COSTUME	Depozit Costume
SAFEBOX_INVENTORY_GUILD	Depozitul Breslei
HALLOWEEN_GAME_WIN_TITLE	Recompensa Halloween. (Depozitul Special!)
HALLOWEEN_GAME_WIN_TEXT	Ai primit [ENTER]%s[ENTER] in Depozitul de Itemshop!
