ACCE_ABSORB	Aufnahme der Boni
EVENT_JOIN_DECLINE_BUTTON	Ablehnen
OPTION_SHOP_TITLE	Shop Titel
REFINE_FAST_CHECK	Fenster nicht schließen
GUILD_MEMBER_MELEY	Meley's Lair starten
COMB_TITLE	Kostüm Boni transfer
COMB_APPEARANCE	Kostüm 1
COMB_ATTRIBUTE	Kostüm 2
GAMEOPTION_TITLE_EXTRA	Extra Optionen
HIDE_COSTUMES	Kostüme verstecken
GAMEOPTION_HAIR	Frisur
SWITCHBOT_TITLE	Switch Bot
SWITCHBOT_ALREADY_ATTACHED	Dieses Item wurde dem Switch Bot bereits zugefügt.
RENDER_OPT	Optimierung
RENDER_OPT_LOW	Gering
RENDER_OPT_MEDIUM	Mittel
RENDER_OPT_HIGH	Hoch
SWITCHBOT_SLOT_NAME	Slot %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	Du kannst kein weiteres Item hinzufügen.
SWITCHBOT_BUTTON_START	Start
SWITCHBOT_BUTTON_RESET	Reset
SWITCHBOT_TEMPLATE_TITLE	Vorlagen
SWITCHBOT_SPEED_SLOW	Langsam
SWITCHBOT_SPEED_MEDIUM	Medium
SWITCHBOT_SPEED_NORMAL	Normal
SWITCHBOT_SPEED_PREMIUM	Premium
SHINING_WINDOW_TITLE	Shining
SWITCHBOT_BUTTON_STOP	Stop
SWITCHBOT_BUTTON_DELETE	Löschen
SWITCHBOT_PREMIUM_INACTIVE	Premium inaktiv
SWITCHBOT_SELECT_DEFAULT	-- auswählen --
SWITCHBOT_SELECT_UNKNOWN	!unbekannt!
MESSENGER_ADD_BLOCK	Block
SWITCHBOT_START_TIME	Startzeit
SWITCHBOT_TIME_PASSED	Gesamte Dauer
SWITCHBOT_SWITCHERS_USED	Verbrauchte Switcher
SWITCHBOT_CURRENT_SPEED	Geschwindigkeit
RUNE_MAIN_TITLE	Runen
RUNE_MAIN_GROUP_TITLE1	Präzision
RUNE_MAIN_GROUP_TITLE_DESC1	Werde zu einer Legende
RUNE_MAIN_GROUP_DESC1	Verstärke deine normalen Angriffe
RUNE_MAIN_GROUP_TITLE2	Dominanz
RUNE_MAIN_GROUP_TITLE_DESC2	Werde zu einer Legende
RUNE_MAIN_GROUP_DESC2	Verstärke deine Angriffe gegen Monster
RUNE_MAIN_GROUP_TITLE3	Zauberei
RUNE_MAIN_GROUP_TITLE_DESC3	Werde zu einer Legende
RUNE_MAIN_GROUP_DESC3	Verstärke deine Fertigkeiten
RUNE_MAIN_GROUP_TITLE4	Entschlossenheit
RUNE_MAIN_GROUP_TITLE_DESC4	Werde zu einer Legende
RUNE_MAIN_GROUP_DESC4	Verstärke deine Verteidigung
RUNE_MAIN_GROUP_TITLE5	Inspiration
RUNE_MAIN_GROUP_TITLE_DESC5	Werde zu einer Legende
RUNE_MAIN_GROUP_DESC5	Verstärke deine Freunde
RUNE_SUB_MAIN_SELECT1	Schlüsselrune auswählen
RUNE_SUB_MAIN_SELECT2	Rune auswählen
RUNE_SUB_SUB_SELECT_GROUP	Sekundärer Pfad
RUNE_SUB_SUB_SELECT_RUNE_NOGROUP	Zusatzrune
RUNE_SUB_SUB_SELECT_RUNE	Sekundärer Pfad
RUNE_SUB_SUBTITLE_TEXT	Schlüsselrune
RUNE_TOOLTIP_SAVE	Save
RUNE_WINDOW_TUTORIAL	Rune System Tutorial
GAMEOPTION_ACCE	Schulterb.
MINI_GAME_FISH_START_TEXT	Starten
MINI_GAME_FISH_TITLE	Fischpuzzle
MINIGAME_FISH_EVENT_USE_COUNT	Versuche
MINI_GAME_FISH_HELP_TEXT	Hilfe
SKINSYSTEM_TITLE	Skin system
XMAS_EVENT_TITLE	Weihnachtskalender
OFFLINE_SHOP_SALES_HISTORY	Verkaufsverlauf
OFFLINE_SHOP_WITHDRAW_GOLD	Yang auszahlen
OFFLINE_SHOP_HISTORY_COLUMN1	Artikel
OFFLINE_SHOP_HISTORY_COLUMN2	Preis
OFFLINE_SHOP_HISTORY_COLUMN3	Käufer
OFFLINE_SHOP_HISTORY_COLUMN4	Datum
OFFLINE_SHOP_AVERAGE_PRICE	Durchschnittlicher Preis
OFFLINE_SHOP_SELL_DIALOG_QUESTION	Für wie viel Yang möchten[ENTER] Sie Ihren Artikel verkaufen?
OFFLINE_SHOP_YOU_GET	Du kriegst:
OFFLINE_SHOP_SELL_AVERAGE_PRICE	Verkaufen Sie zum Durchschnittspreis
OFFLINE_SHOP_CHANGE_APPEARANCE	Aussehen verändern
OFFLINE_SHOP_TIME_REMAINING	Verbleibende Zeit:
SHOP_SEARCH_CAT_ORES	Erze
SYSTEM_PICK_OPTION	Pickup Options
PICKUP_CATEGORY_POTION	Tränke
PICKUP_CATEGORY_BOOK	Bücher
PICKUP_CATEGORY_SIZE_TITLE	Slot Größen
PICKUP_CATEGORY_SIZE_1	1 Slot
PICKUP_CATEGORY_SIZE_2	2 Slot
PICKUP_CATEGORY_SIZE_3	3 Slot
OPTION_HIDE_NPC_TITLE	Ausblenden
OPTION_SNOW	Schnee
OPTION_SAVE_WHISPERS	PNs speichern
OPTION_WHISPER_TIMESTAMP	PN Zeit
OPTION_HIDE_NPC_CAT1	Buffis
OPTION_HIDE_NPC_CAT2	Mounts
OPTION_HIDE_NPC_CAT3	Pets
OPTION_MESSENGER_NOTIFICATION	Messenger notif.
ZODIAC_CALENDAR	Zodiak Kalender
SAVE_WINDOW_POS	Fenster Pos. speichern.
NEW_EMOTES	Neue Emotionen
FONT	Schrift
FONT_DEFAULT	Normal
BDAY_EVENT_REWARD_D1	10% Stark gegen Bosse
BDAY_EVENT_REWARD_D2	25% reduzierter Cooldown auf Dungeons
BDAY_EVENT_REWARD_D3	10% Stark gegen Metinsteine
BDAY_EVENT_REWARD_D4	50% reduzierter Cooldown auf Biologen Missionen
BDAY_EVENT_REWARD_D5	10% Stark gegen Monster
BDAY_EVENT_REWARD_D6	10% erhöhte Upprates
BDAY_EVENT_REWARD_D7	5% Chance einen Gegenstand doppelt zu erbeuten
BDAY_EVENT_DESC_D1	Töte die meisten Bossmonster
BDAY_EVENT_DESC_D2	Schließe die meisten Dungeons ab
BDAY_EVENT_DESC_D3	Zertöre die meisten Metinsteine
BDAY_EVENT_DESC_D4	Verbrauche am meisten Gegenstand verzaubern
BDAY_EVENT_DESC_D5	Töte am meisten Monster
BDAY_EVENT_DESC_D6	Schließe die meisten Missionsbücher ab
BDAY_EVENT_DESC_D7	Töte Spieler der anderen Fraktion
OPTION_ONLY_ITEM_TEXTTAIL	Drops
BATTLE_FIELD_MONDAY	MONTAG
BATTLE_FIELD_TUESDAY	DIENSTAG
BATTLE_FIELD_WEDNESDAY	MITTWOCH
BATTLE_FIELD_THURSDAY	DONNERSTAG
BATTLE_FIELD_FRIDAY	FREITAG
BATTLE_FIELD_SATURDAY	SAMSTAG
BATTLE_FIELD_SUNDAY	SONNTAG
BATTLE_FIELD_EACH_DAY	%s: |cFF14ff48|h%02i:%02i|h|r  - |cFFff1a00|h%02i:%02i|h|r 
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	Trank anfordern
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_INFO	Kampfzone
BATTLE_FIELD_OPERATION_ONLINE	Derzeit offen für den Eintritt.
BATTLE_FIELD_OPERATION_OFFLINE	Derzeit ist der Eintritt geschlossen.
BATTLE_FILED_RANK	Rang
BATTLE_FILED_RANK_EMPIRE	Reich
BATTLE_FILED_RANK_NAME	Name
BATTLE_FILED_RANK_POINT	Punkte
ENTER_BATTLE_FIELD	Enter
EXIT_BATTLE_FIELD	Möchtest du wirklich die Kampfzone verlassen?
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Aktuelle Punkte: %d
TOTAL_RANKING	Gesamt Ranking
WEEKLY_RANKING	Wöchentliches Ranking
RESTART_IMMEDIATE	Reinkarnation
DUNGEON_RANKING_WINDOW	Dungeon Rangliste
SWITCHBOT_DROP	Item hier rein ziehen
REQUIRED_AMOUNT	Benötigte Anzahl
DAY	Tag
CUBE_MAKE_ALL	Alle herstellen
AFFECT_GAME_OPTION	Affect icons
AUCTION_STRICT_SEARCH	Exakte suche
SKILL_COLOR	Fertigkeits Farbe
SAVE	Speichern
STANDARD	Standard
SKILL_COLOR_CURRENT	Aktuelle Farbe:
BLACKJACK_HIT	Karte
BLACKJACK_STAY	Stehen
BLACKJACK_DEALER	Dealer
BLACKJACK_YOU	Du
BLACKJACK_BET	Einsatz
BLACKJACK_START_GAME	Spiel Starten
SHOP_SELL_NOTIFICATION	%sx %s wurde für %s Yang verkauft.
SHOP_SELL_NOTIFICATION_TITLE	Verkaufsbenachrichtigung
EQUIPMENT_PAGE_TITLE	Equipment wechsler
OPTION_HIDE_NPC_CAT4	Shops
HOTKEY_TITLE_TEXT	Hotkey festlegen
OPTION_SELL_NOTIFICATION	Verkaufs benachr.
SAFEBOX_INVENTORY_NORMAL	Lager
SAFEBOX_INVENTORY_ITEMSHOP	Itemshop Lager
SAFEBOX_INVENTORY_UPP	Uppitem Lager
SAFEBOX_INVENTORY_SKILL	Bücher Lager
SAFEBOX_INVENTORY_STONE	Steine Lager
SAFEBOX_INVENTORY_ENCHANT	Verzauberungs Lager
SAFEBOX_INVENTORY_COSTUME	Kostüm Lager
SAFEBOX_INVENTORY_GUILD	Gilden Lager
HALLOWEEN_GAME_WIN_TITLE	Halloween gewinn (Itemshop Lager!)
HALLOWEEN_GAME_WIN_TEXT	Du bekommst[ENTER]%s[ENTER]in dein Itemshop Lager!
