ACCE_ABSORB	Absorpcja bonusów
SHOP_SEARCH_CAT_POTIONS	Potions
SHOP_SEARCH_CAT_USABLE	Przedmioty Konsumpcyjne
SHOP_SEARCH_CAT_FISHS	Ryba
SHOP_SEARCH_CAT_MOUNTS	Wierzchowce
SHOP_SEARCH_CAT_PETS	Towarzysz
SHOP_SEARCH_CAT_OWNED	Moje przedmioty
LOGIN_SHRINK	Shrink
LOGIN_EXTEND	Rozwiń
OPTION_USENIGHT	Tryb nocny
OPTION_CAMERA_DISTANCE_HUGE	Bardzo daleka
SPLIT_ITEM	Rozdziel całkowicie
PLAYER_SELECT_HAIR_TITLE	Wybór fryzury
EVENT_JOIN_TITLE	Dołącz do wydarzenia
EVENT_JOIN_ACCEPT_BUTTON	Teleport
EVENT_JOIN_DECLINE_BUTTON	Odrzuć
OPTION_SHOP_TITLE	Nazwa sklepu
REFINE_FAST_CHECK	Nie zamykaj okna
GUILD_MEMBER_MELEY	Rozpocznij Meleys Lair
COMB_TITLE	Transfer bonusów kostiumu
COMB_APPEARANCE	Kostium 1
COMB_ATTRIBUTE	Kostium 2
GAMEOPTION_TITLE_EXTRA	Dodatkowa opcja
HIDE_COSTUMES	Ukryj kostiumy
GAMEOPTION_HAIR	Fryzura
SWITCHBOT_TITLE	Zmiana Bonusów
SWITCHBOT_ALREADY_ATTACHED	Ten element został już dodany do bota zmiany.
RENDER_OPT	Optymalizacja
RENDER_OPT_LOW	Niski
RENDER_OPT_MEDIUM	Średni
RENDER_OPT_HIGH	Wysoki
SWITCHBOT_SLOT_NAME	Slot %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	Nie możesz dodać kolejnego przedmiotu.
SWITCHBOT_BUTTON_START	Start
SWITCHBOT_BUTTON_RESET	Reset
SWITCHBOT_TEMPLATE_TITLE	Szablony
SWITCHBOT_SPEED_SLOW	Wolny
SWITCHBOT_SPEED_MEDIUM	Średni
SWITCHBOT_SPEED_NORMAL	Normalny
SWITCHBOT_SPEED_PREMIUM	Premium
SHINING_WINDOW_TITLE	Świecenie
SWITCHBOT_BUTTON_STOP	Stop
SWITCHBOT_BUTTON_DELETE	usuń
SWITCHBOT_PREMIUM_INACTIVE	Premium nieaktywne
SWITCHBOT_SELECT_DEFAULT	-- wybierz --
SWITCHBOT_SELECT_UNKNOWN	!nieznane
MESSENGER_ADD_BLOCK	Block
SWITCHBOT_START_TIME	Start
SWITCHBOT_TIME_PASSED	Całkowity czas trwania
SWITCHBOT_SWITCHERS_USED	Zużyte zmienniki
SWITCHBOT_CURRENT_SPEED	Szybkość
RUNE_MAIN_TITLE	Runy
RUNE_MAIN_GROUP_TITLE1	Precyzja
RUNE_MAIN_GROUP_TITLE_DESC1	Zostań legendą
RUNE_MAIN_GROUP_DESC1	Wzmacnia twoje normalne ataki.
RUNE_MAIN_GROUP_TITLE2	Dominacja
RUNE_MAIN_GROUP_TITLE_DESC2	Zostań legendą
RUNE_MAIN_GROUP_DESC2	Wzmocnij swoje ataki przeciw potworom
RUNE_MAIN_GROUP_TITLE3	Magic
RUNE_MAIN_GROUP_TITLE_DESC3	Zostań legendą
RUNE_MAIN_GROUP_DESC3	Wzmocnij swoje umiejętności
RUNE_MAIN_GROUP_TITLE4	Determinacja
RUNE_MAIN_GROUP_TITLE_DESC4	Zostań legendą
RUNE_MAIN_GROUP_DESC4	Wzmocnij swoją obronę
RUNE_MAIN_GROUP_TITLE5	Inspiracja
RUNE_MAIN_GROUP_TITLE_DESC5	Zostań legendą
RUNE_MAIN_GROUP_DESC5	Strengthen your friends
RUNE_SUB_MAIN_SELECT1	Wybierz runę
RUNE_SUB_MAIN_SELECT2	Wybierz runę
RUNE_SUB_SUB_SELECT_GROUP	Druga ścieżka
RUNE_SUB_SUB_SELECT_RUNE_NOGROUP	Additional Rune
RUNE_SUB_SUB_SELECT_RUNE	Druga ścieżka
RUNE_SUB_SUBTITLE_TEXT	Keyrune
RUNE_TOOLTIP_SAVE	Zapisz
RUNE_WINDOW_TUTORIAL	Poradnik Systemu Run
GAMEOPTION_ACCE	Szarfa Naramienna
MINI_GAME_FISH_START_TEXT	Start
MINI_GAME_FISH_TITLE	Rybie Puzzle
BANNER_FISH_BUTTON	Napisz do Mistrza Gry!
MINIGAME_FISH_EVENT_USE_COUNT	Trys
MINI_GAME_FISH_HELP_TEXT	Pomoc
SKINSYSTEM_TITLE	System skinów
SHOP_SEARCH_SORT_DATE_ASC	Sales time
XMAS_EVENT_TITLE	Kalendarz świąteczny
OFFLINE_SHOP_SALES_HISTORY	Historia sprzedaży
OFFLINE_SHOP_WITHDRAW_GOLD	Wypłać Yang
OFFLINE_SHOP_HISTORY_COLUMN1	Przedmiot
OFFLINE_SHOP_HISTORY_COLUMN2	Cena
OFFLINE_SHOP_HISTORY_COLUMN3	Kupujący
OFFLINE_SHOP_HISTORY_COLUMN4	Data
OFFLINE_SHOP_AVERAGE_PRICE	Średnia cena
OFFLINE_SHOP_SELL_DIALOG_QUESTION	Za ile Yang [ENTER] chcesz sprzedać przedmiot?
OFFLINE_SHOP_YOU_GET	Otrzymałeś:
OFFLINE_SHOP_SELL_AVERAGE_PRICE	Sell at the average price
OFFLINE_SHOP_CHANGE_APPEARANCE	Zmiana wyglądu
OFFLINE_SHOP_TIME_REMAINING	Pozostało czasu:
SHOP_SEARCH_CAT_ORES	Przetopy
SYSTEM_PICK_OPTION	Opcje podnoszenia
PICKUP_CATEGORY_POTION	Potions
PICKUP_CATEGORY_BOOK	Księgi
PICKUP_CATEGORY_SIZE_TITLE	Rozmiary slotów
PICKUP_CATEGORY_SIZE_1	1 slot
PICKUP_CATEGORY_SIZE_2	2 slot
PICKUP_CATEGORY_SIZE_3	3 slot
OPTION_HIDE_NPC_TITLE	Ukryj
OPTION_HIDE_NPC_CAT1	Buffi
OPTION_HIDE_NPC_CAT2	Wierzchowce
OPTION_HIDE_NPC_CAT3	Zwierzaki
ZODIAC_CALENDAR	Kalendarz Zodiaku
SAVE_WINDOW_POS	Zapisz położenie okien
NEW_EMOTES	Nowe emocje
FONT	Czcionka
FONT_DEFAULT	Normalny
BDAY_EVENT_DESC_D2	Ukończ wyprawy
BDAY_EVENT_DESC_D3	Zniszcz kamienie metin
BDAY_EVENT_DESC_D4	Użyj zaczarowań przedmiotu
BDAY_EVENT_DESC_D5	Pokonaj potwory
BDAY_EVENT_DESC_D6	Ukończ księgi misji
BDAY_EVENT_DESC_D7	Pokonaj graczy z wrogiego królestwa
BDAY_EVENT_REWARD_D1	10% Silny przeciwko Bossom
BDAY_EVENT_REWARD_D2	zmniejszony czas oczekiwania na wyprawy o 25%
BDAY_EVENT_REWARD_D3	10% Silny przeciwko Metinom
BDAY_EVENT_REWARD_D4	czas oczekiwania na badania Biologa zmniejszony o 50%
BDAY_EVENT_REWARD_D5	10% Silny przeciwko Potworom
BDAY_EVENT_REWARD_D6	10% zwiększona szansa na pomyślne ulepszenie
BDAY_EVENT_REWARD_D7	5% Szansy na podwójny drop przedmiotów
OPTION_ONLY_ITEM_TEXTTAIL	Dropi
BATTLE_FIELD_MONDAY	MONDAY
BATTLE_FIELD_TUESDAY	Wtorek
BATTLE_FIELD_WEDNESDAY	Środa
BATTLE_FIELD_THURSDAY	Czwartek
BATTLE_FIELD_FRIDAY	Piątek
BATTLE_FIELD_SATURDAY	Sobota
BATTLE_FIELD_SUNDAY	Niedziela
BATTLE_FIELD_EACH_DAY	%s: |cFF14ff48|h%02i:%02i|h|r - |cFFff1a00|h%02i:%02i|h|r
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	request Potion
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_INFO	Strefa Walk
BATTLE_FIELD_OPERATION_ONLINE	Zapis otwarty.
BATTLE_FIELD_OPERATION_OFFLINE	Zapis zamknięty.
BATTLE_FILED_RANK	Ranga
BATTLE_FILED_RANK_EMPIRE	Królestwo
BATTLE_FILED_RANK_NAME	Nazwa
BATTLE_FILED_RANK_POINT	Punkty
ENTER_BATTLE_FIELD	Wejdź
EXIT_BATTLE_FIELD	Czy na pewno chcesz opuścić Strefę Walk?
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Obecne punkty: %d
TOTAL_RANKING	Całkowity ranking
WEEKLY_RANKING	Weekly Ranking
RESTART_IMMEDIATE	Reinkarnacja
REQUIRED_AMOUNT	Wymagania ilość
DUNGEON_RANKING_WINDOW	Dungeon Rangliste
DAY	Dzień
SWITCHBOT_DROP	Przenieś swój przedmiot tu
OPTION_SNOW	Śnieg
OPTION_SAVE_WHISPERS	Zapisuj wiadomości
OPTION_WHISPER_TIMESTAMP	Czas w wiadomościach prywatnych
CUBE_MAKE_ALL	Wytwórz wszystko
AFFECT_GAME_OPTION	Wpłyń na ikony
AUCTION_STRICT_SEARCH	Dokładne wyszukiwanie
SKILL_COLOR	Kolor umiejętności
SAVE	Zapisz
STANDARD	Standard
SKILL_COLOR_CURRENT	Aktualny kolor:
BLACKJACK_HIT	Uderzenie
BLACKJACK_STAY	Zostań
BLACKJACK_DEALER	Handlarz
BLACKJACK_YOU	Ty
BLACKJACK_BET	Zakład
BLACKJACK_START_GAME	Rozpocznij grę
OPTION_MESSENGER_NOTIFICATION	Powiadomienia o logowaniu
SHOP_SELL_NOTIFICATION	%sx %s został sprzedany za %s Yang.
SHOP_SELL_NOTIFICATION_TITLE	Powiadomienie o sprzedaży
EQUIPMENT_PAGE_TITLE	Zmiana Ekwipunku
SAFEBOX_INVENTORY_NORMAL	Magazyn
OPTION_SELL_NOTIFICATION	Powiadomienie o sprzedaży
OPTION_HIDE_NPC_CAT4	Sklepy
HOTKEY_TITLE_TEXT	Set hotkey
SAFEBOX_INVENTORY_ITEMSHOP	Magazyn ItemShop
SAFEBOX_INVENTORY_UPP	Magazyn Ulepszaczy
SAFEBOX_INVENTORY_SKILL	Magazyn Ksiąg
SAFEBOX_INVENTORY_STONE	Magazyn Kamieni Dusz
SAFEBOX_INVENTORY_ENCHANT	Magazyn Zmianek
SAFEBOX_INVENTORY_COSTUME	Magazyn Kostiumów
SAFEBOX_INVENTORY_GUILD	Magazyn Gildii
HALLOWEEN_GAME_WIN_TITLE	Nagroda Halloween ( Magazyn ItemShop )
HALLOWEEN_GAME_WIN_TEXT	Masz [ENTER]%s[ENTER] w Magazynie ItemShop!
